id,premise,hypothesis,lang_abv,language,label
6d63ae6397,Watoto wangegonga milango ya majirani zao na,Watoto wangeweza kwenda kwa majirani zao nyumba.,sw,Swahili,0
ca2570d90c,Mashua kama hayo yalitengenezwa kuruhusu fursa ya kufiki kwa meli zinazowasili.,Boti zilianzishwa ili iwe rahisi kupata  meli zinazokuja.,sw,Swahili,0
fc9b9e81ec,"Sijawahi kuelewa kwanini uandishi wa kimataifa wa simu ya kitaifa haitumiwi katika kamusi ya kiingereza ya kila aina, lakini hii ni zaidi ya upeo wa maneno yetu katika ukaguzi huu.",Mapitio haya ni madogo kwa upeo kwa hiyo hayajadili kwa nini Uandishi wa Waandishi wa Kimataifa wa Simutiki hautumiwi katika kamusi za Kiingereza.,sw,Swahili,0
61f15fd66d,"Mnamo Mei 1, tunapaswa kuhitimisha chaguzi za upya wa uanachama kwa wachangiaji wa 1991.",Kuna nafasi kwa wanachama 1500 kutengeza upya uanachama wao.,sw,Swahili,1
6211b5072d,Alikuwa mahuttuti katika mchafuko wa Cuban na Kaiser alizipata picha na akaelekea Andrews Air Force mjini Washington.,Ni mtu mmoja tu ndiye aliyeuawa katika ajali ya mgogoro wa Cuba,sw,Swahili,1
ba01e23d88,"Kama mimi Msikoti wa majivuno, ninahisi kuwa sababu kubwa ya hii maanzilishi ya ukosefu wa tamaa ya kilugha inapatikana kwa majimbo ya kinyumbani.",Lugha ya kikanda inawezekana kutokana na ukosefu wa tamaa ya lugha.,sw,Swahili,0
5bb743d827,Makumbusho hayakuwa imara kwenye orodha au lebo,Makavazi hayo hayapendi kuandikwa.,sw,Swahili,1
3129b1ebce,Aligeuka kumuomba mungu Julian.,Lord Julian hakuwa anaonekana popote.,sw,Swahili,2
76cf5310b1,Bado alikuwa mle ndani.,Alikuwa amekwenda bila ishara.,sw,Swahili,2
ada6630bdf,Elimu ya kisheria ya kijamii ni huduma muhimu inayotolewa na watoleaji wa LSC.,Misaada ya LSC inaelimisha jamii.,sw,Swahili,0
c9564000f9,"um, nina mtoto mmoja msichana mdogo ambaye ana umri wa miezi kumi na nane","nina mtoto mmoja, binti wa miezi kumi na nane",sw,Swahili,0
46ceab3ce3,"Kuchukua marupurupu na kinga ya wananchi kama thamani muhimu ya utaratibu mpya, kama vile Black inavyofanya, hujenga matatizo yake ya usawa chini ya sheria.",Wananchi wanaweza kuwa na marupurupu yao.,sw,Swahili,0
2c7e7cbdff,"Sisi kwa kweli twaiunda dunia yetu pamoja, sisi wakosoaji",Kilakiumbe hai huathiri dunia tunayoishi.,sw,Swahili,0
8c7f490686,Baadhi ya rekodi za lexical za kitabu zina tia shaka.,Uchaguzi wa kitabu hiki unaochanganya hufanya maudhui haya kuchanganya.,sw,Swahili,1
7e156d04f7,"Kuchukua marupurupu na kinga ya wananchi kama thamani muhimu ya utaratibu mpya, kama vile Black inavyofanya, hujenga matatizo yake ya usawa chini ya sheria.",Wananchi hawawezi kamwe kupoteza haki zao.,sw,Swahili,2
0f9350fb6a,"Kwa hivyo sasa, ni hivi, anaitaka leo.",Anasema angependa kuipata leo.,sw,Swahili,0
c919dcfc31,Washington inazidi kuendelea vizuri sana kwa sababu hawajashindwa. Pia Buffalo New Orleans na Chicago kwa sababu Chicago wamepoteza mara mbili tu na mojawapo ilikuwa dhidi ya Buffalo.,Washington imepoteza kila mchezo.,sw,Swahili,2
087a2f1635,Sababu iliyotajwa mara chache sana ni kuzingatia ubora wa ndani.,Programu ya 'Inhouse core' haina umuhimu mkubwa.,sw,Swahili,1
e830105d5f,"Alisema, Mpenzi, huyaelewi maisha jinsi ninavyoyaelewa.",Alisema kuwa hakuwa na ufahamu wowote.,sw,Swahili,2
32cacb4eaf,"Hatimaye aliongeza ukanda, nyumba ya sanaa, na mnara.",Aliongeza vitu vitatu.,sw,Swahili,0
b1e534ea50,Uzalishaji wa Mercury huchangia uhifadhi wa zebaki katika maji.,utoaji wa zebaki umeleta shida kwa samaki majini.,sw,Swahili,1
cd1f2cb2c7,walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...,Walikubaliana wote watafanya kazi kwenye viwanja,sw,Swahili,2
