id,premise,hypothesis,lang_abv,language,label
ebaae4990c,M,Ö. 8. yüzyıl civarında Yunanlılar Sicilya ve diğer güney bölgelerini kolonileştirir. Güney bölgelerini kolonileştirmeden önce Yunanlılar kuzey bölgelerini fethetti.,tr,Turkish,1
6bee98cc38,so i how do you feel that it should be applied,I really need your help with figuring out how to apply this.,en,English,1
4c8b6af1ad,"Σωστά, η περίοδος δεν σημαίνει τίποτα.","Δεν πειράζει που δεν παίζουν καλά στην προετοιμασία, αφού δεν έχει σημασία.",en,Greek,1
fc2114471f,4 ملايين منزل تشاهد الأخبار المسائية على CBS، ABC، و NBC.,4 ملايين منزل مراقبة CBS و ABC و NBC.,en,Arabic,0
a87751b0d8,Μια πιθανή εξήγηση είναι ότι η αύξηση του πλούτου των νοικοκυριών τα τελευταία χρόνια συνέβαλε στην εικονική εξαφάνιση της προσωπικής σωτηρίας.,Οι άνθρωποι βάζουν αυτό που θα ήταν οι προσωπικές τους οικονομίες σε επιδείξεις πλούτου πιο συχνά τα τελευταία χρόνια.,en,Greek,1
9401772d1a,"Die Geschichte des Technologiegeschäfts wird aufgepeppt, weil die Realität so fad ist.","Die Realität ist so verblüfft, dass das Virtual-Reality-Technologiegeschäft aufgepeppt wird.",en,German,1
78726992fe,"-شريكي المعتاد. """,شريكي الذي عادةً ما أملكه.,en,Arabic,0
4ba633cfe7,we're thinking about putting one of those in,We are considering setting up one of those inside.,en,English,0
dff470d6c3,"No te lo tomes a pecho, muchacho, dijo amablemente.",No lo investigues demasiado.,en,Spanish,0
45d3a10370,"Helms, who will be 81 when his fifth term ends, is increasingly frail.",Helms will turn 81 next month.,en,English,1
9a47f647f6,ใช่และทุกครั้งที่คุณพยายามที่จะเดินลงไปพนักงานเฝ้าประตูมักจะบอกให้คุณเดินกลับไป,พนักงานที่นำไปยังที่นั่งไม่ยอมให้คุณผ่านไป,th,Thai,0
635df0285d,"Огъл, каза той, с глас студен и остър като стомана, мястото ти е на оръдейната палуба.","Каза на Огле, че мястото му е на оръдейната палуба.",bg,Bulgarian,0
d9cf46e2a1,Они сказали: Мы платим за место для вас.,Они платят за проживание за меня и моих братьев и сестер.,ru,Russian,1
86c06c84f8,Мой роман с IRT был недолгим.,Я очень сильно презираю IRT.,ru,Russian,2
8285286392,Bu iyi görünmüyor,Bu gerçekten kötü görünüyor.,tr,Turkish,0
354d03f4fc,"Die große Anziehungskraft der Kirche ist das prächtige Äußere, das von goldenen Zwiebelkuppeln gekrönt wird.","Die Außenseite der Kirche ist nicht viel zu betrachten, aber das Innere ist aufwendig dekoriert.",en,German,2
d91a52c637,Un menú grabado proporcionará información sobre cómo obtener estas listas.,Las listas están disponibles en los menús electrónicos.,en,Spanish,1
f7537303f2,Her zamanki partnerim,' Her zamanki partnerim ona gitmesini söyledi.,tr,Turkish,1
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
d90e38883b,في عام 1972، استحوذت شركة Miller Brewing من شركة فيليب موريس على علامة Lite للبيرة في صفقة شراء لشركة Meister Brau Inc.,شركة فيليب موريس المحدودة، التابعة لشركة ميلر بروينج قررت أنها لا تريد أن يكون ملصق لايت بير جزءاً من صفقة شراء ميستر براو المحدودة، وقامت بإيقاف إنتاج المنتج.,ar,Arabic,2
cb373d459a,اور اب انہوں نے اسے ایک جہاز میں ڈال دیا.,وہاں موجود لوگوں نے اس کے ارد گرد موجود تھے.,en,Urdu,0
55cd9ddb94,मैं हमेशा फिल्म के लिए इंतजार करता हूँ मैं पुस्तक पढ़ने के लिए समय नहीं है,मेरे पास पुस्तक पढ़ने के लिए समय नहीं है इसलिए मैं हमेशा फिल्म का इंतज़ार करता हूँ.,en,Hindi,0
73c4124838,"Alt ve üst sınıf lise öğrencileri için, artık okul bütçelerinde sanata gittikçe daha az pay ayrıldığından son derece kritik bir önem taşıyan sanat programlarımız var.",Okulların sanat için pek bütçesi yok.,tr,Turkish,0
b23bdc1a30,"Малките градчета като Луизиан са разпръснати навсякъде по нефтените полета, като между тях се е разклонила основната жп линия.",Между всички малки градчета се е разтоварила и автобусна линия.,en,Bulgarian,0
877751962f,وأنت تعرف إذا كنت أعرف أنهم سوف يكونون هناك تعرف أنك تحاول حقاً أن تشاهده و كأنك تقول أنك تعرف حقاً ألبس و إذا كنت أعرف أنهم لا يعلمون أنني كنت أقوم بالكثير من إعادة التنظيم,لم أحاول أبداً مشاهدتها,en,Arabic,2
b44730afb6,"Nach der Krebsdiagnose beschließt Carrey's Kaufman, eine Show in der Carnegie Hall zu machen.",Carrey's Kaufman wird erst nach einer Show in der Carnegie Hall mit Krebs diagnostiziert.,en,German,2
3556446826,"Wir hatten vielleicht nicht alles, was wir wollten oder haben keine andere Leute gesehen, aber sie hat sichergestellt, dass wir die notwendigen Dinge hatten, die wir brauchten.","Wir hatten Essen und Unterkunft, aber sonst nichts.",de,German,1
c3d4d9f3c1,"आप मैनचेस्टर, शफ्स क्षेत्र, और जमैका में केनो को केवल तीन नाम से पा सकते हैं.",जमैका में और भी कई जगहों पर हैं ।,en,Hindi,1
ab17eb910d,"Basit bir örnek olarak, çalışma maliyetinin 10a olduğunu ve temel postanın maliyetinin 16a olduğunu varsayın.",İş bölümü giderlerinin temel postadan daha az olduğunu tahmin edebilirsiniz.,tr,Turkish,0
496c7db4a4,"Sự tò mò, hay tiền bạc đi đâu?",Bí ẩn của sự cứu rỗi.,en,Vietnamese,0
effe5eb482,لیکن مشرقی ثقافت پر سب سے زیادہ زوردار حملہ، اور اس کے وقار پر، بائیں سے آیا تھا.,اُنہوں نے اس حملے کو نہیں دیکھا تھا ۔,en,Urdu,1
2cd3659757,个人上，傲慢并不是一种在30岁以上男女之间常见的情感，她并不喜欢这个词除非是欧洲女人用它,Prudie在任何情况下都不喜欢“情人”这个词。,zh,Chinese,2
ac4af0afcb,Solche Kleinen dinge machten einen grossen Unterschied zu dem was ich versuchte zu tun.,Ich habe es nicht einmal versucht.,de,German,2
3615027718,偶尔他们都会穿衣服 但无论是谁做的... 都和圣人一起疯狂,有时他们有穿衣 但是他们用太多的圣典和盐。,en,Chinese,1
d7eec99181,"So, gut ich, äh, wie auch immer, äh, äh, dies sind die drei, äh, U2 Piloten die, äh, President Kennedy's Büro in Washington mit General May.",Dies ist General May und drei U2 Piloten im Büro von Präsident Kennedy.,de,German,0
04ed433d72,कैथेड्रल छात्र संस्था लगभग 25%,हमारे एक चौथाई छात्रों के लिए उनके सभी शिक्षण शुल्क भुगतान किया जाता है।,hi,Hindi,1
0347be4167,"Estaban tan seguros de sí mismos que dieron por sentado que había cometido un error.""",Cometió un error pero lo ocultó así que no era obvio.,en,Spanish,1
8bbc9fd459,Và một điều khác là chi phí nó gần như là mang nó đến cho một người bán,Đem đến cho bọn buôn bán thì rẻ lắm.,en,Vietnamese,2
0ac3ac0f7a,马洛卡繁荣昌盛,马洛卡是该区域最富有的国家之一。,en,Chinese,1
08b6645304,Das Smithsonian Natural History Web (zwei- oder dreimal herunterscrollen),Die Webseite von Smithsonian wurde 2001 erstellt.,de,German,1
195ef401b9,Donc c'était traumatisant.,Le tour des montagnes russes a été une expérience traumatisante pour moi.,en,French,1
1ae50f92a3,Η ομάδα ασφαλείας πληροφοριών διεξάγει 8 με 12 συνεδρίες το μήνα.,Η ομάδα ασφαλείας είναι κατά μέσο όρο για 9 περιόδους το μήνα.,el,Greek,1
8ea967ee63,"Uh,nilikuwa wa kwanza katika tisa kueka sindano kwa mdhibiti.",Niliweka sindano Jumanne.,sw,Swahili,1
62de46f2b8,ils peuvent être mais pas au niveau des facteurs humains,Est-ce qu'ils embauchent ?,en,French,1
6e6e75b419,The organizations usually allowed individual members who had changed employers to continue participation.,"The organizations didn't allow any individual members who are working for others now, to still participate.",en,English,2
496d2af22b,Elbette Küba'yı ilhak edebilirdiniz ama bundan hiç hoşlanmazlardı,Küba'yı ilhak etmeye çalışırsak Kübalılar silahlanırdı.,tr,Turkish,1
22000a0850,لدي شيء لأريك إياه، متسائلاً، ركب اللورد جوليان المرافق، كما قيل له.,نزل جوليان من جبله لأنه أخبره أنه ليس لديه ما يظهره.,ar,Arabic,2
468274d249,Tôi không biết những gì loại của một mùa hè chúng tôi đang mong đợi năm nay tôi tưởng nó sẽ được nóng một lần nữa,"Tôi đoán mùa hè này sẽ là một ấm một, chúng ta sẽ xem.",en,Vietnamese,0
