id,premise,hypothesis,lang_abv,language,label
a1971593d5,"Може да не сме имали всичко, което сме искали или сме видели, че други хора имат, но тя осигуряваше необходимите неща, от които се нуждаехме.","Имахме всичко, от което наистина се нуждаехме.",bg,Bulgarian,0
24444bd5df,"Оставено на собствените си средства, тази реакция е екзергонична и в присъствието на излишък от тримери, в сравнение с равновесното съотношение на хексамер към тримери, ще тече екзергонално към равновесие чрез синтезиране на хексамера.","Ако тази реакция е недокосната, тя в крайна сметка ще стигне до равновесие.",bg,Bulgarian,0
5aabaf3da7,Надявам се да се чуем скоро.,Никога не ми говори отново!,bg,Bulgarian,2
97ca4170dd,"Моят герой, обаче, е Ричард Хезълтайн, председател на Overseas Investment Trust, който подаде оставка по-рано този месец в знак на несъгласие с бизнес плана, наложен от неговите началници.",Хезълтайн напусна работата си.,bg,Bulgarian,0
9f89cd56c7,"Релахо може да опише и шеговита връзка, загадъчно обръщане напред-назад, което със смях облекчава напрежението и заличава причината за моментното напрежение.",Relajo се шегува за икономиката.,bg,Bulgarian,1
3ec78b9eee,"Затова не завърших колежа, но никога не съм чел никоя от книгите, които трябваше.",Изхвърчах от колежа през 2002.,bg,Bulgarian,1
43f0d888bd,"Една от разликите е, че другите групи трябва да направят това, защото за да функционират, те трябва или да придават нови значения на съществуващите думи и фрази, или да измислят нови думи и фрази.","Някои групи трябва да съставят нови думи, които да отразяват променящите се времена.",bg,Bulgarian,1
e7fb6148c9,"Но знам, че в някои, че в много селски райони те не са толкова добри.",Те не са много добри в земеделски райони.,bg,Bulgarian,0
b8949b933c,"След тона крайният получател в Пакистан отива в пакистанския хаваладар и получава парите си в рупии, от каквито пари има в момента пакистанският хаваладар.",Пакистанският хаваладър ще даде на получателя 5 000 рупии.,bg,Bulgarian,1
53184721d7,"Състоящ се от ядро от трима или четирима мъже, с няколко допълнителни членове, паломилата е била важна единица за социализация, която осигурява на младите мъже сигурно място да се шегуват и да се изразяват.",Palomillas позволи на младите мъже да се изразяват.,bg,Bulgarian,0
c1e8590627,Пенсионният фонд се състои от обменни приходи и други източници на финансиране.,Пенсионният фонд не разполага с източници за финансиране.,bg,Bulgarian,2
44ae307050,"Ключовото средство, използвано от всяка компания, за да гарантира, че дизайнът на продукта е стабилен до края на фазата на интегриране на продукта, е демонстрация, че дизайнът ще отговаря на изискванията.",Фирмите не използват ключове.,bg,Bulgarian,2
97219173ed,и понякога е хубаво да изляза и да хапна салата,Никога не ям салата!,bg,Bulgarian,2
2ca79f11d1,"След това въртях колелото си, не знам колко, изглеждаше сякаш цял ден.",Отдавна въртя колелото.,bg,Bulgarian,0
17d5853bd5,"Khallad е предоставил втора версия, а именно, че и тримата са пътували заедно до Карачи.","Khallad е казал, че тримата са могли да пътуват заедно.",bg,Bulgarian,0
fad2862303,"При последния договор, който е подписан, Вирджиния даде под съд или заведе дело срещу Gratin, за да спре строителството, защото е получено нечестно или нещо подобно.",Договорите са много объркани.,bg,Bulgarian,0
1118fe2449,Днес тези германизми не са останали дори в Съединените щати.,Днес тези германизми дори не остават на едно и също място в Съединените щати.,bg,Bulgarian,0
b6c3072ff0,DOT трябваше да купи имота и нещата.,Продажбата на имота и реализирането й струва повече от три милиона долара.,bg,Bulgarian,1
8343b6de5f,"През 1863 г. нацията все още искаше да създаде по-съвършен Съюз, но освен това имаше и минало, което вдъхновяваше и тревожеше новата коренна психика.",Нацията се променяше поради политическите вълнения през 1863 г.,bg,Bulgarian,1
230539fa48,Ние не сме истински естествоизпитатели или нещо такова,Всъщност ние не се смятаме за натуралисти.,bg,Bulgarian,0
b79ebdf0e5,"Аз съм информиран, че вчера вечерта една фрегата е напуснала пристанището, като на борда ѝ са били Вашият другар Улвърстоун и сто от сто и петдесетте мъже, които служеха под Ваше командване.","Сто жени, две диви котки и нито един мъж са били на фрегатата, която е напуснала пристанището вчера вечерта.",bg,Bulgarian,2
87db5bfb4e,"Малки лодки за местни излети могат да се наемат от Sea Horse Boat Rentals, пристанище Marsh Harbour, острови Абако (тел.",Може да наемеш пътническа лодка.,bg,Bulgarian,1
