id,premise,hypothesis,lang_abv,language,label
3931fbe82a,Des petites choses comme celles-là font une différence énorme dans ce que j'essaye de faire.,J'essayais d'accomplir quelque chose.,fr,French,0
b277ab420e,regarder une fille dans un parka en fourrure blanche avec des bottes,La fille est habillée tout en rouge.,fr,French,2
bda3f7467b,"Correctement mise en œuvre, cette approche fournit une assurance raisonnable qu'un voyage s'est produit.",L'approche vous montre le voyage qui a eu lieu.,fr,French,0
26ef4fcb0c,"La complexité du subjonctif en français ne le soucie pas le moins du monde, pour la bonne et simple raison qu'il n'essaye pas de l'employer.",Il n'essaie pas parce qu'il n'a aucune motivation.,fr,French,1
7fa1543ed0,La Maison Blanche va-t-elle se raviser ?,La Maison-Blanche changera-t-elle d'avis ?,fr,French,0
73dce915f0,Les avis à l'avocat de l'opposition et au tribunal ou à l'agence administrative devraient être envoyés.,L'avocat adverse et la cour s'attendent à recevoir des avis légaux.,fr,French,1
2c9359d401,Elle n'exploserait pas sans le détonateur.,Le déclencheur le fait exposer.,fr,French,0
21429b747f,D'autres encore s'émerveilleront tout simplement de l'utilisation du langage et se demanderont là où notre côté analytique se termine et où notre côté émotionnel commence.,Il peut être difficile de décider exactement où les appels émotionnels commencent.,fr,French,0
107e6cdc0b,"1 400 ans avant la construction du Palais de Estei, Milreu était aussi la grande maison de campagne d'une personne éminente.",Milreu était à 10 milles de tout.,fr,French,1
07879d199e,Les avocats financés par le LSC seraient tenus de surveiller les mouvements de leurs clients et de renoncer à une affaire chaque fois que leurs clients étrangers quitteraient les États-Unis.,Certains avocats sont payés par le LSC.,fr,French,0
d250ab094c,"Formant une partie des remparts de la ville, la porte a été prévue par les prussiens, plus pragmatiques, non comme une arche triomphante mais comme un imposant péage pour collecter les impôts.",La porte a été construite pour pouvoir charger les gens.,fr,French,0
1fffdd603b,Il y a une différence entre le scepticisme malin et le scepticisme idiot.,Le scepticisme cannibale est plus courant que le scepticisme des haltères.,fr,French,1
8df0c42edb,Eh bien j'ai une petite-amie qui a une fille c'est une adolescente et chaque année avant que l'école commence elle me fait l'emmener faire du shopping pour acheter des vêtements parce qu'elles se disputent trop,La fille de ma copine refuse de faire du shopping avec moi.,fr,French,2
ee66c1453a,C’est plus qu’un boulot pour moi.,J'ai un travail.,fr,French,0
f28bd3f380,ou visitez la page d'accueil du World Wide Web de GAO à,Le site Web du GAO peut être consulté en ligne.,fr,French,0
79c303cb90,"Les coûts techniques, dus au travail effectué par une partie qui peut le faire à un coût plus élevé, sont également calculés de la même manière qu'auparavant.",Ils n'ont pas compris comment calculer les frais de fonctionnement techniques.,fr,French,2
71fc29910d,"De plus, autant que nous le sachions, la vie n'est apparue ici qu'une seule fois sur terre.",La vie sur Terre a pu surgir plus d'une fois.,fr,French,1
56502fbeba,"Si quelqu'un possède l'édition de 1984, il est fort possible qu'il soit contrarié d'avoir à acheter ce livre plutôt qu'un Supplément plus concis (et moins cher).",La version de 1984 est la meilleure du lot.,fr,French,1
0a90ad078f,"Un tunnel d'entrée avec une alcôve de cuisine d'un côté, et des alcôves de stockage de l'autre, mène à l'espace de vie principal.","L'espace de vie se situe en haut d'un petit escalier, dans le grenier.",fr,French,2
9dadd2df75,Retrait des titres de créance avant les fonds fiduciaires et les fonds spéciaux (sauf les fonds de roulement).,Certaines fiducies ont des fonds renouvelables.,fr,French,0
47a2549fc0,"William Lowe Bryan, le président de l'IU dont le rêve fut une université solidement fondé a mené à la foundation de l'École de médecine IU en 1903.",Bryan n'a jamais travaillé pour l'université.,fr,French,2
de2b66415a,Nous attendons avec impatience le débat national sur les points que nous avons recommandés et nous participerons activement à ce débat.,Nous aimerions débattre des recommandations.,fr,French,0
b8478174d7,"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine arrête son emploi en mai.,fr,French,1
0f9d6289fc,"Parmi les nombreux clubs de jazz, on retrouve le fameux Jazz Bakery à Culver City, le Catalina Bar et Grill in Hollywood, et le Baked Potato à North Hollywood.",Il y a de nombreux clubs de jazz célèbres à Los Angeles.,fr,French,0
67eb738f42,"C'était la première fois que ça arrivait depuis 75 ans, que la législature du Texas avait voté la création d'une unité militaire sous l'autorité d'ambassadeurs du Texas, donc des ambassadeurs du Texas étaient nécessaires.",Les unités militaires n'ont pas le droit d'être des Ambassadeurs du Texas.,fr,French,2
f3196a5ea1,Du moment que vous ne vous opposez pas à être guidé par les experts résidents de dix ans.,Les gamins de dix ans savent de quoi ils parlent.,fr,French,0
835af5dc47,"Dans le cadre de leur stratégie d'approvisionnement, les organisations de premier plan décident s'il est opportun de fournir des services spécifiques de technologie de l'information ou de management en ayant recours à leur personnel propre ou à des prestataires externes.",Les organisations décident si elles vont faire appel à des employés internes.,fr,French,0
b662216979,1 Les gens font un meilleur travail que les ordinateurs pour ajuster l'alignement des tissus à travers les machines à coudre et compenser les erreurs de couture et de coupe.,Une action humaine peut toujours être améliorée par un ordinateur.,fr,French,2
28af907748,"Je ne l'ai jamais fait, je ne peux rien faire comme gâteaux alors",Je ne serais jamais en manque d'idées pour un gâteau !,fr,French,2
5193261131,"Il leva la tête, surpris, puis la regarda avec un regard sombre.",Il gardait les yeux baissés en regardant le sol.,fr,French,2
52ff852535,Ceci s'applique à la fois aux relations entre C et R définies par une unique fonction C-R et à celles qui sont définies par un ensemble de fonctions C-R.,Il y a beaucoup de fonctions C-R qui marchent ensembles.,fr,French,0
16461efa4b,"Les principaux personnages du personnel de la Maison-Blanche de Bush seraient Condoleezza Rice, conseillère à la sécurité nationale, qui avait été membre du personnel de NSC dans l'administration de George H.W.",Condoleezza Rice était conseillère à la sécurité nationale durant l'administration Bush.,fr,French,0
9686441f4c,"C'était probablement la première chose dont je me souvenais de ma petite enfance, et en particulier au sujet d'une bêtise.",Je me sens toujours mal à ce jour.,fr,French,1
df8d7fa3e7,"Je veux dire qu'il n'y avait aucun danger à aller à l'intérieur avec la bombe parce qu'elle n'aurait pas explosé, quelle que soit la force avec laquelle elle avait heurté le sol.",La bombe avait été désactivée par le pilote.,fr,French,1
0d9bed6948,La différence entre un président et un roi est qu'un roi n'a pas de vice.,"Il n'est jamais évident qui prendra la relève d'un roi en cas de décès, mais c'est évident pour un président.",fr,French,1
22c6811a14,"Ogle, qui était à la tête de l'équipage, s'est trouvé freiné par Blood, qui s'est opposé à lui, et on a pu voir une certaine sévérité s'emparer de son visage et traverser tout son corps.",Il était grincheux parce-qu'il n'avait rien à manger.,fr,French,1
ba5f49621b,"Les menaces seront inutiles, Capitaine.","Les menaces suffiront certainement, Capitaine.",fr,French,2
89780c171e,"oui ils sont remplis très vite, la foule un peu bien vêtu, du type yuppie",La foule aime se déguiser.,fr,French,0
a5b3eeb344,"Cependant, les augmentations spectaculaires des coûts des livres juridiques, des revues et des services de bases de données signifient que le simple maintien de nos collections actuelles dépasse notre budget.",L'entretien de nos collections actuelles ne coûte qu'un tiers de notre budget annuel.,fr,French,2
d8a1714cf7,Vos contributions au Fonds annuel au niveau de la Maennerchor Society ont apporté une aide importante à l'école.,La Maennerchor Society reçoit des dons.,fr,French,0
ca1481f473,"Kodaly kerend (Croissant Kodaly, du nom d'un autre compositeur hongrois) est un ensemble splendide, ses faades courbées décorées de guirlandes classiques et de motifs incrustés.",La place Kodály Körönd est décorée avec classicisme et motifs incrustés.,fr,French,0
51cc3abb5c,"Il a peut-être raison, et il a peut-être tort.",Il a à la fois raison et tort.,fr,French,1
339ec0e20d,"Ici, le long de la rivière Oil Creek, les Indiens écrémaient le pétrole de la surface de l'eau à des fins domestiques, et les colons blancs le mettaient en bouteille à des fins médicinales, l'appelant Huile de Seneca.",Personne n'a jamais utilisé le pétrole d'Oil Creek.,fr,French,2
1a42863cae,oh je vois en ce qui me concerne j'aime l'atmosphère,"Je me sens en sécurité ici, c'est pourquoi je l'aime bien.",fr,French,1
9a405bcbbf,"États-Unis, puisque la France a un plus large éventail de densités postales et des volumes plus faibles.",La France n'a pas de service postal.,fr,French,2
9724069fa7,"Avant que tu ne me donnes une fessée, pourquoi ne me laisserais-tu pas juste avoir un grand verre de chocolat au lait d'abord ?",Je voudrais un verre de lait au chocolat.,fr,French,0
29666369c9,Veuillez éviter un enlisement dans notre liste des donateurs périmés.,"Notre liste de donateurs déchus est publiée publiquement, donc croyez-moi, vous ne voudriez pas être humilié de cette manière !",fr,French,1
c3baa0668b,donc il semblait très tranchant,Le design était horrible.,fr,French,2
9d47ed4947,Le spectacle le plus irritant sur une rue de New York (à l'exception du bal nu de Donald Trump qui danse avec le fantôme de Boss Tweed) est de voir tout le monde en train de jacasser dans son téléphone portable.,Donald Trump ne peut pas danser.,fr,French,2
19d070f815,Dialogue avec des représentants de la ville et d'autres organisations civiques et communautaires concernant le développement de l'art et de l'histoire par l'IMA,L'institut de management travaille de manière indépendante tous les jours.,fr,French,2
8e72187720,"En 1847, un soulèvement sauvage connu sous le nom de guerre des castes a vu les rebelles Mayas massacrer les colons blancs et prendre le contrôle de près des deux tiers de la péninsule.",Les Mayas ont tué des centaines de colons blancs.,fr,French,1
17db72e32f,"Mercredi, Clinton a choisi de parler d'une industrie différente.",Clinton a parlé ce Mercredi.,fr,French,0
3bd18904ac,.. orientation spirituelle et encouragement.,.. les conseils des athées,fr,French,2
70c2f0939a,"Bien qu'il nous soit aujourd'hui facile de faire l'amalgame entre KSM et Al-Qaïda, ce n'était pas le cas avant le 11 septembre.","Même si personne ne s'en est rendu compte, KSM a toujours été connecté à Al Qaeda.",fr,French,1
