id,premise,hypothesis,lang_abv,language,label
86aaa48b45,ในการเล่นบทบาทสมมุติก็เช่นกัน โอกาสที่จะได้แสดงออกและได้เล่นหลายบทบาทไปพร้อมกัน ๆ อาจช่วยให้เด็กจับความคล้ายคลึงและความแตกต่างระหว่างผู้คนในด้านความปรารถนา ความเชื่อ และความรู้สึกได้,เด็กสามารถเห็นได้ว่าชาติพันธุ์แตกต่างกันอย่างไร,th,Thai,1
de5351757f,"ตรงกันข้าม, ใน Cite de la Musique คือ Musee de la Musique และห้องแสดงคอนเสิร์ตขนาดยักษ์, Zenith",ซีนีนคือลานคอนเสริตขนาดใหญ่,th,Thai,0
aae865505c,Newsweek บอกว่านักท่องเทียวและคนดังแห่กันไปปาตาโกเนีย ซึ่งครั้งหนึ่งเคยเป็นที่หลบภัยสำหรับนาซีที่หลบหนี,โรงแรมใหม่ได้รับการสร้างขึ้นใน Patagonia เพื่อรองรับนักท่องเที่ยว,th,Thai,1
34cd54592e,เมื่อทรายก่อตัวขึ้น ทรายก็เข้าสู่มุมทรงตัว แล้วขยายตัวเข้าสู่ขอบโต๊ะ,ทรายถูกตักโดยรถปราบดิน,th,Thai,1
8b0d14218c,ไตเติ้ลวีที่ทำการดำเนินการเรื่องการขออนุญาตจะต้องเปิดวิจารณ์ในที่สาธารณะได้,ต้องอนุญาตให้มีการแสดงความคิดเห็นสาธารณะ,th,Thai,0
a54d80a4c9,อย่างสังหรณ์ใจ มันดูเหมือนว่าจะเป็นไปไม่ได้ที่ดาวเคราะห์โลกของหน่วยอันซับซ้อนที่ไม่มีสิ่งมีชีวิตจะบังเกิดขึ้นเองตั้งแต่เหตุการณ์บิ๊กแบง,ดูเหมือนว่าสิ่งที่ไร้ชีวิตไม่ได้อยู่ที่นี่โดยบังเอิญ,th,Thai,0
7d8dc50997,ความเรียบง่ายของแนวทางโรมาเนสก์ของ Sant Pau ก็คือการเปลี่ยนแปลงที่สอดคล้องจากความฟุ้งเฟ้อของความทันสมัยแห่งบาร์เซโลนาและความสลับซับซ้อนในสถาปัตยกรรมของโกธิค,ซานต์เปามีหลายโบสถ์,th,Thai,1
6f7205862a,ความพึงพอใจจากสิ่งที่ฉันได้ยิน,จากสิ่งที่ฉันได้เจอ ดูเหมือนว่าน่าจะเป็นการประสบความสำเร็จ,th,Thai,0
88d61a7839,ไม่เฉพาะนักกฎหมายเท่านั้นแต่ยังเป็นเจ้าหน้าที่ตำรวจและผู้พิพากษารวมทั้งมืออาชีพด้านกฎหมายทั้งหมดโดยทั่วไป,ส่วนใหญ่ของระบบกฎหมายมีส่วนเกี่ยวข้องส่วนใหญ่กับการเป็นตำรวจ,th,Thai,1
bbd497b288,มันจะใหญ่มาก เอาพวกเราออกจากเตียงและไม่เคยพาเรากลับบ้าน (พฤศจิกายน 1974).,พวกเขาโดนย้ายตัวออกจากเตียงของพวกเขา,th,Thai,0
a5eb2da799,แหมดี บาง บางแห่งก็ดี เกี่ยวกับการส่งออกไปโดย UPS หรือหรือวิธีการอื่น ๆ แต่,สถานที่บางที่จะรับการจัดส่งโดยบริการของ UPSเท่านั้น,th,Thai,1
26ae5c22ac,เนื่องจากการสรุปอย่างสั้นและเหตุผลที่การสกัดไม่ได้รับการเข้าใจอย่างถูกต้อง ดูที่ เกรยแฮม ออลลิสัน และ ฟิลิป เซลิโคว การตัดสินใจอันสำคัญ 2ดี อีดี,การสกัดไม่ได้ทำอย่างถูกต้อง,th,Thai,0
9574cc3f8f,การใช้เทคโนโลยีสมัยใหม่เพื่อการพิจารณาเป็นรายบุคคล วัตถุที่ช่วยเหลือระยะสั้น ๆ และ การตอบกลับอาจจะช่วยเติมช่องว่างในระบบการดูแลผู้ป่วยที่มีความเสี่ยงและปัญหาการดื่มสุรา,เครื่องคอมพิวเตอร์และระบบการพิมพ์ที่จำเป็นในการผลิตกางเกงเหล่านี้มีค่าใช้จ่ายห้าร้อยดอลลาร์,th,Thai,1
339c421ff3,พวกเขาแค่ไม่ชอบอะไรที่ค่อนข้างขุ่นมัวในวันโน้น และนั่นแหละ คุณรู้ ฉันเดานะ นั่นอาจจะเป็นไปได้ คุณรู้นะ ช่วงต้น ๆ ปี ค.ศ. 1930 อ่าา เมื่อพวกเขาทำสิ่งนั้น,มันยากที่จะเป็นคนดำในสมัยก่อน,th,Thai,0
251c1beb69,ซึ่งแตกต่างจากโรงละครที่ไม่หวังผลกำไรอื่น ๆ ในเมือง นักแสดงของเราหาเลี้ยงชีพจากงานฝีมือของพวกเขา,เราเป็นโรงละครแห่งเดียวในเมืองที่ไม่จ่ายเงินให้นักแสดง,th,Thai,2
a4f480c249,‘Swounds! บางทีเธออาจจะอธิบายตัวเธอเอง? วิธเธอร์ทำให้วูฟเวอร์สโตนจากไปหรือ?,คุณควรจะอธิบายตัวเอง! เกิดอะไรขึ้นกับ Wolverstone?,th,Thai,0
