id,premise,hypothesis,lang_abv,language,label
91b03f6bf4,إذا أمكن ، تعرّف على المؤامرة مسبقًا.,حاول أن تفهم الحبكة في البداية، إذا كنت تستطيع.,ar,Arabic,0
e5c40e04ec,ولكن قد  تكون دم العقل الأن .,بلد قد وصل سريعاً لاستنتاج عن موقفه.,ar,Arabic,0
cc18ec8d15,حسنا، أنا في التكساس ولدينا مدرس مات من مرض الإيدز,لم يسبق لي أن ذهبت إلى تكساس.,ar,Arabic,2
05ab8a9326,لم تصل روح الليبرالية السائدة في أوروبا إلى إسبانيا إلا في وقت متأخرة.,اسبانيا لم تكن ابدا ليبرالية.,ar,Arabic,2
89467c0148,الكلمة الذاتية المرضية، والكلمة العادية بدلاً من الكلمة القانونية، هي صانعة للمتاعب وينبغي تجنبها.,الرضا الذاتي ليس مشكلة.,ar,Arabic,2
ee747eb8ca,في الواقع، كلمة كوارك في قاموس أوكسفورد ا كفعل يعني `تشاءم، مع مراجع القرن ال19 تشير إلى الضفادع والغربان، و الملك الحزين.,معظم الناس لا يعرفون أصل كلمة كوارك وأنها تشير إلى الضوضاء التي يصدرها الضفدع.,ar,Arabic,1
0fba15690f,هناك نوعان من المزايا التطورية لمتوسط المظهر.,من المفيد أن تبدو عاديا لأن الناس يتركونك في حالك.,ar,Arabic,1
f5ff8d63ad,ولكن مع تقدمها في العمر ، لم تعترف أنها كانت على خطأ ، ولكنها غيرت سلوكها.,لم تعترف أبداً أنها كانت على خطأ.,ar,Arabic,0
04c794b893,انشغل روكفيلير في هذا العطاء المكروب بينما بدأت تاربيل الملاك المنتقم في تمزيق لحمه في مجلة ماكلورز.,كان روكفلر يعطي.,ar,Arabic,0
79cf105ac2,وعلى بعد بضعة أميال من هذا الجانب ، بعدها ، وجاءت تسرع ثلاث سفن بيضاء كبيرة.,كان لكل سفينة مائتي راكب.,ar,Arabic,1
74465b80fd,(dba) ، وهي منظمة خيرية ومتطوعين وغير ربحية ، توفر معلومات حرة عن العمل الحر ومساعدة للأعمال التجارية للأشخاص ذوي الإعاقة ، وللمهنيين في مجال إعادة التأهيل المهني والاستشارات المهنية والتجارية.,يعمل بها متطوعون.,ar,Arabic,0
24e9a5e06d,نعم أنا في الحقيقة كان لدي كبار السن من المغنين كبار السن أو كبار السن كبار السن الأخوات المطربين,أخواتي أكبر مني بكثير.,ar,Arabic,1
9a88f7c844,بالنسبة إلى الإرسال المتأخر، يرجى مراجعة سجلات الـ FDNY، تقرير الإرسال بمساعدة الكمبيوتر، خانة التنبيه 8087، 11 سبتمبر 2001 ، 09: 03: 00-09: 10: 02.,لم تكن أنظمة الإرسال بمساعدة الكمبيوتر موجودة في نيويورك حتى عام 2008.,ar,Arabic,2
b0d63c8d50,ندعوك للمشاركة في مستقبل اطفالنا  عن طريق رعاية طفل هندي أمريكي أو الانضمام إلى دائرة العضوية لدعم مشاريع التعليم المجتمعية.,إذا كنت ترعى طفلاً أمريكياً هندياً، فستشارك في مستقبل الأطفال.,ar,Arabic,0
a2fe5baa5c,إنهم يطلقون النار على الطلاب ، أليس كذلك؟,يصنعون الكب كيك للطلاب ، أليس كذلك؟,ar,Arabic,2
80317c914a,أدرك تماما ما فعلت، وأتفهم ذلك جزئيا، على الأقل، ربما حثَّك احترامك لي.,كان عليك أن تفكر في قبل أن تفعل ما فعلته.,ar,Arabic,0
cf90be5cd9,لقد أرسلت لك، كابتن بلود، بشأن بعض الأخبار التي وصلتني للتو.,الأخبار التي تلقيتها صدمتني حتى النخاع.,ar,Arabic,1
