id,premise,hypothesis,lang_abv,language,label
5a0f4908a0,ریاست ہائے متحدہ امریکہ واپس آنے پر، ہج ایف بی آئی کے ایجنٹوں کے ذریعے ہوائی اڈے پر ملاقات کی، تحقیقات کی، اور اگلے دن وفاقی گرین جوری سے پہلے اسامہ بن لادن کی تحقیقات سے ملاقات کی.,ہیگ کی تفتیش ایف بی آئی اہلکاروں  کی طرف سے کی گئی,ur,Urdu,0
792afbd06a,عمارت کی سب سے زیادہ افسانوی خصوصیت گوہا ہتھیاروں سے متعلق ہے.,Building mein kafi bara weathervane hai.,ur,Urdu,1
4c7b129507,ہے کیا؟ ہمارے پاس تقریباً ایک ایکڑ ہے، جی ہاں یہ عجیب ہے کیونکہ ہمارے پاس,یہ کوئی مذاق کی بات نہیں،  ہمارے پاس صرف ایک مربع فٹ زمین ہے.,ur,Urdu,2
d68455eccf,اس ہفتے حوصلہ افزائی کے  عظیم سٹار کی محبت پر کین سٹار کی رپورٹ کی پیشکش پیش کرتا ہے،جس میں صدارتی لیمو میں رومانوی کا شمار ہوگا،اوول آفس اور یہاں تک کہ لائنر بیڈوم!,پوچھنے والے کو وائٹ ہاؤس کے بارے میں علم تھا,ur,Urdu,0
8d7f3793e5,انہوں نے جیل میں لے جانے والے بولی، جیریمی نے خاموشی سے کہا,Jeremy aik samundari dakoo tha apni pori zindagi.,ur,Urdu,1
a5143d6482,"اصلاحات جو ابھی تک اپنایا گیا ہے گہرے اثرات ہیں کہ کیا حکومت کرتی ہے,یہ کس طرح منظم ہے،اور یہ کس طرح ملک اور اس کے شہریوں کے لیے اپنی خدمات انجام دیتی ہے.",اصلاحات کا حکومت پر کوئی اثر نہیں ہے.,ur,Urdu,2
03c7c4e5b1,مجھے ڈیل ڑیو جانے کا حکم دیا گیا تھا ، جب وہاں پہنچا  تو پتا چلا کے لافلن ایئر فورس بیس جانا پرے گا۔,ایئر فورس نے مجھ کو 2001 میں ڈیل ریو‏، ٹیکساس بھیجا۔,ur,Urdu,1
cdc6b7dc73,"تو اس طرح میں ، ام، , بیلٹ کے اندر رہتا ہوں۔",مجھے بالکل اسی طرح نکالا گیا تھا۔,ur,Urdu,2
bc0f20d9e5,جواب ڈھونڈنے کا ایک طریقہ مختلف سوال سے شروع کرنا ہے، ایمس کی معلومات سوویت یونین والوں کے لئے کتنی قیمتی تھیں؟,امیز کو سوویتوں کو درجہ بندی کی معلومات فروخت کرنے کے لئے گرفتار کیا گیا تھا.,ur,Urdu,1
bf4c1901c7,ریاست ٹیکساس سمجھتی ہے کہ اس کی  مختلف اقسامِ تعلیم اس کے میڈیکیڈ منصوبے کے لحاظ سے  موثر بہ لاگت ہیں۔,ٹیکساس کا خیال ہے کہ تعلیم کے مختلف قسم کے فائدہ مند ہیں.,ur,Urdu,0
5f49f0841b,"shayad ye behas ki ja sakti hah kai writing funoni honi chahiye naqli nahi, magar fannon badalte rahte hain, ahista sai magar.",اگرچہ مختلف شرحوں پر، لیکن دونوں طرح  کے الفاظ وقت کے ساتھ بدلتے رہتے ہيں، لیکن مختلف شرحوں پر۔,ur,Urdu,0
efea24f84d,"Building kai amle sai building systems ki halat ki maloomat kai lye FDNY daikhain interview 4, Chief (Jan.",تعمیراتی نظام کی حیثیت کے بارے میں کسی کو کوئی بھی معلومات دستیاب نہیں ہے.,ur,Urdu,2
31b21ba4a7,کیا وائٹ ہاؤس آئے گا؟,وائٹ ہاؤس عمل کرنے میں ابہام کا شکار ہے.,ur,Urdu,1
a32cbfec87,جیسا کہ پچھلے باب میں بیان کیا گیا ہے، مستقبل قریب کی جدتوں میں داخلے کے لیے کچھ تعامل ہونا چاہئے جو فطری چناؤ کے ذریعے کھوج لگانے کے عمل کے آگے بند باندھے تاکہ ہار جانے والوں کو ہٹایا جاسکے۔,کوئی مداخلت نہیں ہے,ur,Urdu,2
15914bdbee,تمہیں وہاں رہنے کی ضرورت نہیں ہے.,آپ کو بالکل اسی جگہ ٹھہرنے کی ضرورت ہے!,ur,Urdu,2
2dfc840c47,جیسا کہ پہلے بات چیت،اس وجہ سے جین نے فیصلہ کیا کہ وہ معلومات کا اشتراک نہیں کرسکتے تھے کیونکہ این ایچ اے کی جانب سے جہاد پر ابتدائی معلومات کا تجزیہ کیا گیا تھا.,این اس اے نے مہدھار کے بارے میں معلومات کا جائزہ لیا تھا.,ur,Urdu,0
18b1750cb6,یہاں تک کہ اگر مقدمہ واپس لینے کی اجازت ہوتی بھی تو، تو یہ وکیل کو اخلاقی ذمہ داریوں سے محفوظ نہیں کرسکتا ہے جو کلائنٹ کی نمائندگی کرتا ہے یا بدعنوانی کے دعوے سے۔,ہوسکتا ہے اٹارنی کو خسارہ اٹھانا پڑے یہاں تک اگر وہ کیس سے ہٹ جاتے ہیں,ur,Urdu,0
cd5a2bd56b,اور ہاں تو یہ ایک بڑے پلاسٹک پلانٹ ہے جو مجھے لگتا ہے کہ ان کی سترہویں ستر فیصد مارکیٹ حصص یا کچھ کی طرح ستر ہے,میرے خیال میں کپڑے دھلائی کی ٹوکریوں کا زیادہ تر کاروبار ان کے پاس ہے.,ur,Urdu,1
10791745da,اور یہاں میں سوچھ رہیں ہوں کہ وہ آ کر مجھ پر چلاۂگا کے  میں نے ابھی تک یہ کام کیوں نہیں کیا,میں سمجھا وہ لڑنے کے لئے ادھر آرہا ہے۔,ur,Urdu,0
8a00a8fca7,ہفتہ وار اخبارات کے کور پیکجز پریشان والدین کو محفوظ کرتے ہیں۔,والدین نئی گاڑیوں کی خریداری پر پیسہ خرچ کرنے کے امکانات کے حامل ہیں،جو انہیں میگزین کے لئے ایک منافع بخش اشتہاری حصہ بنانا ہے.,ur,Urdu,1
f2c3bf3027,وہ گاہک جو کسی زبان سے ناواقف ہوں، مواد کو احتیاط سے ان کے لئے وضاحت کرنا پڑے گی,غیر معمولی لوگ مواد کو سمجھ نہیں لیں گے.,ur,Urdu,0
