id,premise,hypothesis,lang_abv,language,label
2bf4b86d4f,Es fallen zwanzig Prozent Zinsen an,Könnte das Interesse mehr als 20 sein?,de,German,1
8540c11e37,"Die Sozialversicherung enthält keine etablierten Programme ausschließlich oder vor allem für Bundesangestellte, solche wie: Rente und andere Altersvorsorgen.",Sozialversicherungen beinhalten keinen Plan nur für Arbeitnehmer des Bundes.,de,German,0
714a367262,"Die Unfähigkeit zur Kommunikation war ein kritisches Element an den Absturzstellen des World Trade Centers, des Pentagon und des Somerset County, Pennsylvania, wo mehrere Behörden und mehrere Gerichtsbarkeiten reagierten.","Es war schwierig für die Leute im World Trade Center, zu kommunizieren.",de,German,0
c69352547f,Eine Postleitzahl kann von mehreren Routen verwendet werden.,ede Postleitzahl wird von nur einer Route bedient.,de,German,2
bbd3930178,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono konnte heute trotz ihres vollen Terminkalenders mit uns sprechen.,de,German,1
6e108e3994,"selbst und ich mag einige ihrer songs, aber da ich als generelle regel stimme, würde ich auch keinen rap wählen","Ich bin kein Rap-Fan, aber ich mag einige der Songs, die sie haben.",de,German,0
fc0a6ac2f5,"Sein offizieller Name war Flavian Amphitheater, nach dem Familiennamen seines Erbauers, dem Kaiser Vespasian.","Niemand weiß, wie das Amphitheater von Pozzuoli seinen Namen bekam.",de,German,2
ab87e8abac,"ähm wie denkst du, dass die Zeitung in Colorado Springs die lokalen Interessen behandelt","Glauben Sie, dass die lokalen Zeitungen nicht daran interessiert sind, was die Bürger zu sagen haben?",de,German,1
58c7e2433e,"Sie war bereits gegangen und sagte mir, ich solle mir keine Sorgen darüber machen.","Sie sagte, ich sollte einfach davon ausgehen, dass es der Schule gut gehen würde.",de,German,1
a233096c29,Leider wird unsere Auffassung von der Bedeutung der Philanthropie nicht von allen Amerikanern geteilt.,"Nicht alle Amerikaner denken, dass man Geld spenden sollten.",de,German,0
26948eac2c,"oh sowieso trotzdem ähm, meine Kinder sind jetzt einundzwanzig und vierundzwanzig, also muss ich nicht","Ich muss wahrscheinlich, da sie ihr Alter so nah aneinander ist.",de,German,1
c4e6db9114,"Es sind 30 oder 40 U2 Flugzeuge und wir haben begonnen Chinesische und britische Piloten, praktisch Piloten von Verbündeten auf der ganzen Welt, in ihnen zu trainieren",Wir haben mit einer Menge anderer Soldaten trainiert.,de,German,0
0c36ab6766,"Der echte Anlass zur Sorge ist, dass Mehrfamilienhäuser auf lange Sicht Kosten möglicherweise nicht unter Kontrolle halten können.","HMOs sind vollständig in der Lage, Kosten auf kurze Sicht zu kontrollieren.",de,German,1
64939096f7,NEUE ANKUENFTE JEDES GESCHENK MACHT EINEN UNTERSCHIED!,Nur Geschenke über $ 100 machen einen Unterschied.,de,German,2
f7229b856a,Aber Blood hatte sich schon eine Meinung gebildet,"Blood hat entschieden, dass er Eier zum Frühstück möchte.",de,German,1
da0454c25f,Daniel Yamins ist ein brillanter junger Mathematiker.,Herr Zamins ist gut in Mathe.,de,German,0
86d0a75d8e,"Damit unsere juristische Fakultät mehr Ansehen und Einfluss gewinnen kann, brauchen wir eine Mischung aus privater Unterstützung und Finanzierung durch die Universität.",Unsere juristische Fakultät wird teilweise von der Melinda und Bill Gates Foundation unterstützt.,de,German,1
7f4ccbc5ea,Warum gilt das nicht für das Web?,Dies gilt für das Web.,de,German,2
50a1a0a60b,Du kannst Recht haben und du kannst dich irren.,Du liegst definitiv falsch.,de,German,2
4a544175dd,"Aufgescheucht durch die gleichen Geräusche, zog sich Lord Julian, der sich in seiner Kabine auf der Steuerbortseite befand, bereits hastig an.",Lord Julian blieb nackt im Bett in seiner Kabine.,de,German,2
16644dbd96,Analyse der FAA-Flugverkehrskontrolldaten durch die Kommission.,Die Luftverkehrskontrolldaten der FAA wurden nie untersucht.,de,German,2
fd750995a1,"Und trotz allem verlor er nichts von seiner äußersten strengen Fassung, während Furcht in sein Herz eindrang.","Seine Fassung blieb unerschütterlich, während sein Herz von Erleichterung erfüllt war.",de,German,2
b58506d0fe,"Ja, das ist eine andere Sache, die ich nicht verstehe, dass es Dinge wie den Verkauf von Technologie und äh sogar Militär-Hardware an ausländische Regierungen gibt und dann ihre Schulden vergeben wird.",Viele Präsidenten haben ausländische Schulden von einem anderen Land.,de,German,1
573318944e,Agenturen müssen den Erfolg messen können.,Agenturen können nie wirklich wissen ob sie erfolgreich sind oder nicht.,de,German,2
c7e3b32444,Die Bemühungen der AICPA in den Bereichen Wertschöpfung und Handel haben in den letzten Jahren eindeutig die Tagesordnung bestimmt.,Wertsteigerung stand nie auf der Agenda der AICPA.,de,German,2
cc99f7de29,"Mit anderen Worten, was passiert, ist so etwas wie eine Taschenspielerei eines Jetzt-siehst-du-es-jetzt-siehst-du-es-nicht-Magiers.","Es is sehr offensichtlich, was passiert.",de,German,2
25daa9b969,"Ein Teil der Antwort ist, so vermute ich, soziologisch.",Die Frage ist rein psychologisch gemeint.,de,German,2
9be9c30653,"Im Laufe einer Sendung, ein junges Paar kam auf die Bühne um Hallo zu sagen.",Ein junges Paar ging zu ihrem allerersten Auftritt.,de,German,1
b08609e9a9,"Ich würde denken: Nun, ich werde jemanden anderen gehen lassen, aber dann würde ich denken: Mein Gott!","Ich dachte, ich gebe meinen Platz in der Besprechung an jemand anderes ab.",de,German,1
ae5d7ade8b,"So kann ich Hendricksons Herkunft für die Pferdebreiten nicht akzeptieren, obwohl er, um ihm sein Recht zu geben, die Etymologie nur aus anderen Quellen kopiert hat, einschließlich der OED.",Ich stimme völlig mit Hendrickson überein.,de,German,2
feadbb145c,"Es war klar, dass die Haupteinsatzzentrale die FDNY war, und dass die anderen lokalen, bundesstaatlichen, zwei- sowie einstaatlichen Einsatzgruppen eine Nebenrolle einnahmen.","Die FDNY war nicht die einzige verantwortliche Agentur, andere hatten genauso viel Kontrolle.",de,German,2
d7eec99181,"So, gut ich, äh, wie auch immer, äh, äh, dies sind die drei, äh, U2 Piloten die, äh, President Kennedy's Büro in Washington mit General May.",Dies ist General May und drei U2 Piloten im Büro von Präsident Kennedy.,de,German,0
c71ba7c575,"Meine Schwester war mal mit einem stämmigen jungen Mann zusammen, der ein zäher Verstärker der Universität von Iowa war, deren Sportteam die Hawkeyes genannt wird.","Meine Schwester war früher mit einem Fan der Sportmannschaften der Universität von Iowa zusammen, die Hawkeyes heißen.",de,German,0
