id,premise,hypothesis,lang_abv,language,label
8b8a91643a,27 La dificultad aumenta a medida que la necesidad de modificaciones de la caldera que se han de tomar para adaptar el SCR a la instalación también aumenta.,27 La dificultad depende de las modificaciones.,es,Spanish,0
e66e2e370a,El artículo de Stevenson muestra una falta fundamental de comprensión sobre lo que implica nuestra campaña.,"Aunque Stevenson ha viajado con nosotros en la campaña, su artículo deja en claro que no estaba prestando atención a lo que trata la campaña, ni siquiera en el nivel más básico.",es,Spanish,1
73fff19324,Les dije que era de mi hermana.,Culpé a mi hermana.,es,Spanish,0
8f448b8aa5,Ajaj había ingresado a los Estados Unidos con una visa de turista B-2 en la ciudad de Nueva York el 9 de septiembre de 1991.,Ajaj tenía una visa de turista cuando fue a los Estados Unidos.,es,Spanish,0
2a1d1ecdb0,"Vale, ¿puedes oírme?",Sé que no puedes oírme.,es,Spanish,2
3aeca69a58,"La biblioteca pública del condado de Greenlee, Arizona, ilustra el problema del dinero y la tecnología de las instituciones rurales.",El condado de Greenlee tiene múltiples bibliotecas públicas.,es,Spanish,1
e0a9ba1bc3,"El lingüista que escribe libros parece invariablemente ser un eruito que pregona sus propios puntos de vista, algunos de los cuales, como mínimo, están muy escondidos.",La lingüística de escritura de libros es casi una forma de que los académicos promuevan sus propias becas.,es,Spanish,0
d795d9b2d5,"Sin embargo, ella no ha salido de espaldas a él, y se estaba moviendo en la misma dirección.",Ella se adelantó a él caminando en la misma dirección.,es,Spanish,0
6294165161,Hasta que no hagas aritmética no te das cuenta de que en la mente de Lincoln el momento decisivo fue la firma de la Declaración de Independencia del 1776.,Lincoln pensó que la firma de la Declaración de Independencia marcó la fundación.,es,Spanish,0
de7fa7c5fb,Los ejecutivos también podrían recibir una calificación de provisional o fallar para cada elemento.,Los ejecutivos no pueden fallar.,es,Spanish,2
19d5cb2b4f,Tener en cuenta que una descripción compacta muy simple ha recogido  estas características del sistema desequilibrado y se puede obtener trabajo cuando el sistema gaseoso circula hacia el equilibrio.,Es todo muy complicado de explicar.,es,Spanish,2
672fca7bdb,"Aunque los miembros de la junta de CVR consideraron dar el dinero como un préstamo, no como una subvención, su voto sobre la solicitud de fondos, tomada después de que Milne y Ralphs dejaran la reunión, fue unánime.",Los miembros de la junta de CVR nunca pensaron en dar el dinero como una subvención.,es,Spanish,0
ddab604ccf,"El año pasado, solo el 20 % de nuestros exalumnos hicieron contribuciones a la escuela, frente al 14 % del año 1990.",El 100% de nuestros alumnos contribuyen a la escuela cada año.,es,Spanish,2
bd4c9284db,"Si bien las cifras son impresionantes, las becas a menudo son críticas para reclutar a los mejores estudiantes con necesidades financieras.",Hay 50 becas disponibles para los 50 mejores estudiantes.,es,Spanish,1
e76f0873f4,Si te alteras te vas a marear.,El calor excesivo puede causar mareos en algunos casos.,es,Spanish,0
d54d4570c3,"Cuatro de los agresores del 11 de septiembre fueron retirados en una inspección secundaria en la frontera, pero luego fueron admitidos.",Recibieron inspecciones adicionales porque llevaban puestos sombreros graciosos.,es,Spanish,1
c6d37ac388,Las casas de la segunda torre son infinitamente más ruidosas y modernas de la bolsa de valores de Toronto.,Solo es una torre.,es,Spanish,2
6d420e28f3,Contribuciones de la entidad del empleador a los programas de seguros sociales.,Los empleadores guardan su dinero para ellos.,es,Spanish,2
4706d61790,"La pieta se cuelga de un árbol, con una cuerda larga que es manipulada por un adulto, que puede mover la pieta hacia arriba y hacia abajo para que no se rompa demasiado rápido.",La pieta está en el aire.,es,Spanish,0
8ae6f43675,"El Times entrevista a Deborah Eappen, madre afligida por el caso de la niñera de Louise Woodward.",Debrah Eappen concedió una entrevista a Time.,es,Spanish,0
de3200d80d,"Tengo algo que enseñarte.Pensativo, Lord Julian montó a su compañero como le fue ordenado.",El compañero del señor Julian era un caballo.,es,Spanish,1
b0f522c4a7,¿Qué pasó con el enfoque despiadado clásico de los militares de encontrar un chivo expiatorio?,Los cambios en las tradiciones militares son evidentes ya que se utilizan menos chivos expiatorios para explicar los problemas de disciplina y comando.,es,Spanish,1
81210da202,Pero no hizo que el tirador reflexionase sobre sus intenciones.,El artillero tenía la intención de hacer algo.,es,Spanish,0
2d293c7f7e,Hay una diferencia entre escepticismo cauto y escepticismo idiota.,El escepticismo sagaz y el escepticismo tonto no son exactamente lo mismo.,es,Spanish,0
c3049c090d,"pero, por otro lado, hemos comido un montón de mapaches y zarigüeyas y tortugas de todo tipo",No como ningún tipo de carne.,es,Spanish,2
edb8d14ca7,"Mi otro argumento es que, para ser un éxito total, un diccionario de este tipo requiere mucho más que las habilidades académicas de un especialista en nombres de lugares.",Se requiere un diccionario más que habilidades especializadas.,es,Spanish,0
37eb87cfb7,Él es caballeroso hasta el punto de la idiotez.,Realmente es demasiado caballeroso.,es,Spanish,0
03421d28c3,"Entonces, también en los trópicos cubanos, acaba de haber un día tan bello como la gloria, frío como la tumba.",Cuba está en el Ártico.,es,Spanish,2
