id,premise,hypothesis,lang_abv,language,label
4c25aa4c06,我希望你的领主能够最终开始认识到，向这样的人授予国王委员会的愚蠢行为反对我的所有建议。,大人刚刚接受了我的意见，并且采取了相应的行动。,zh,Chinese,2
aa6feee06e,争端，管理现在都指向做的这些食物券，当然也可以转向基本福利 —— TANF。,政府还没有提到任何有关食品券或是福利的事。,zh,Chinese,2
12840a5edd,电视晚餐带来了糟糕的污点。,电视上的人只吃早餐和午餐 。,zh,Chinese,2
dd63e67222,哦我明白这里的气氛了,我不喜欢这种风格,zh,Chinese,0
df8998b7a7,嗯，我的祖父母总是非常非常的有爱心，而我的父母也是，我们在下边享受美好时光。,我的祖父母是一对非常恩爱的夫妻。,zh,Chinese,0
b645ab43a4,迪拜是一个可以轻松到达主要机场，旅行社，酒店和西方商业机构的现代化城市，是一个理想的中转站。,迪拜是中转站的首选。,zh,Chinese,1
b332076fc2,当然，假定法律中存有量子不确定性是相当激进的想法，但这似乎不是不可能。,一些认为法律中存在量子不确定性的人可能是激进分子。,zh,Chinese,1
1e0cc288b1,但是，他们住在奥古斯塔郊外的一个叫伊万斯的小镇上，伊万斯现在还在，我的许多亲戚仍然住在那里。,他们有二十个家庭成员居住在埃文斯。,zh,Chinese,1
1b1f7455ef,每天近10万人来到这里欣赏令人眩目的建筑和探索这个不断变化的城市的最新景点。,此城市无发达的旅游业。,zh,Chinese,2
114a0981ad,我的梦想是看到每一个美国人都成为奥运家庭的一员，所以请尽一切可能。,我相信所有的美国人都是天生的运动员。,zh,Chinese,1
3a74303793,The Friends 在两个层面上运营 - 全市通和各分部 - 并且您可以在一个或两个层面上都激活身份。,朋友的级别取决于你捐献的额度。,zh,Chinese,1
2b2680786a,我不会怀疑。 他的领主的语气没有减弱其粗野的性格。,因为我玩忽职守，他发了脾气。,zh,Chinese,1
95b768f4e9,IMA的发展委员会将匹配1998年12月31日之前收到的所有认捐，一美元是一美元。,你在1998年底之前进行的所有捐赠，IMA都将捐赠同等数量。,zh,Chinese,0
5349956cea,它来自一个飞越古巴的空军基地，当然鲁道夫·安德森被击落了。,古巴上空击落了一些东西。,zh,Chinese,0
4bd1d447aa,涉嫌犯罪的人拥有这些权利。,涉嫌犯罪的人有这些权利。,zh,Chinese,0
94692e0c61,她的第二个是一个来自垃圾堆上的小狗，这个小公狗有牙齿问题。,一窝共8只，只有雄性有牙齿问题。,zh,Chinese,1
b776c44bc5,19 如果在合同授予前有四个月的时间工作，那么飞瞬即逝的13个月将对改造这个675 MWe锅炉至关重要。,花了13个月来为潜艇改装锅炉。,zh,Chinese,1
4d3e7450a2,Feisty就像fizzle一样，开始于中古英语的fysten，比如fisten `to fart。,Fiesty与fisten无关。,zh,Chinese,2
73b319ec0d,不管怎么说，这个人进来了。,那人跑向另一条路。,zh,Chinese,2
19efea0580,但我想，忘记它，我要去吃午饭，我饿了。,我根本没胃口。,zh,Chinese,2
2e1bac77b2,哦，不，但是他们在Oaklawn跑道上进行赛马比赛。,Oaklawn的赛道上有赛马。,zh,Chinese,0
06a187811f,关心国家新闻如何影响地方,担心地方会受到国家新闻的影响。,zh,Chinese,0
8f9008e265,如果我们保持低价格，我们需要找到你们，我们的观众，要求我们做出一些小的贡献，以帮助我们完成这项任务。,不管你的钱，如果我们真的想要，我们可以保持我们的低价格，但我们的老板有他的奢侈癖好。,zh,Chinese,2
fd6ffb0c00,关于阿塔去捷克共和国的旅行消息，如前所述。,Atta独自去了捷克共和国。,zh,Chinese,1
abdce12278,参加我们节目的孩子们通过课堂课程提前准备戏剧经历,孩子们来看我们的节目。,zh,Chinese,0
c758791668,"回到镇上, 一次海滨漫步会带你穿过繁华街道上的唐人街。",唐人街在水上面。,zh,Chinese,0
3ce2ae2cb5,呃，我有点喜欢黑眼豆豆，但是我觉得这并不是一个束缚。,他受不了黑眼豆豆组合。,zh,Chinese,2
2da1be6f81,Hazmi的室友记得他在这段时间不知道为什么去了圣地亚哥机场。,哈兹米的室友从未听说过圣地亚哥机场。,zh,Chinese,2
7cdd050205,好的，你能听到我说话吗?,你能听到我在说什么吗?,zh,Chinese,1
db3f2ce5d4,是的，是的，你知道，如果他们有一个um公司提供资金，我不会如此介意。,这会让我很愤怒，发现他们已经为该公司融资。,zh,Chinese,2
a612565705,我很荣幸接受你的邀请去参加共和党的在全国代表大会上小圈子派对，在八月16到20号，休斯顿,休斯敦共和党全国大会已于8月份举行。,zh,Chinese,0
a47274a478,我们进去时门被锁上了。,我们带着钥匙。,zh,Chinese,1
34a410187e,对那些既有的数据库进行调查可以挖出那个驾驶员的驾照，车辆注册和电话号码。,调查人员还要求访问专业数据库。,zh,Chinese,1
a9c6808fdc,换句话说，当家庭的现有资产增值时，人们可以从目前的收入中减少储蓄，仍然能够实现他们的财富收入目标。,一个家庭现有的资产与需要储蓄的收入没有关系。,zh,Chinese,2
114bc1f1f9,"Jane,Dave,和一个FBI 分析师了解CIA对本拉登的信息，直到6月11日他们才获得关于Cole相关情况的接见",联邦调查局的分析师前往纽约与代理人交谈。,zh,Chinese,0
9b6147a82f,她离开了他，之后与Wolverstone一起靠在铁轨上，他看着艘那载着十几名水手的船，由一个猩红色面孔的坐在船尾的指挥的穿的靠近。,掌管这艘船的红衣人是一位女性。,zh,Chinese,1
21eb5b7c8b,即使在早期时候，会咨询众神，然后传神谕者会从西比尔的岩石发出他们的判决。,神与圣贤交谈。,zh,Chinese,0
2fbade6f92,这是我们唯一的机会，我说过了，我们必须抓住它。Blood船长脑中更好的办法是他已经向Wolverstone提议过的办法。,布拉德上尉在此之前曾向沃夫斯通谈过这起事件。,zh,Chinese,1
c9789accd9,他在皇家港口过了两个星期，他的船几乎是现在在牙买加中队的一个部队。,他从未去过Port Royal。,zh,Chinese,2
2782c755a1,然后我可能会看他们能够负担多少,我不在乎他们能负担得起。,zh,Chinese,2
c3eaa45ea0,对于一个被你自己的不完美所玷污的情况，最好的策略是把自己定义为快乐的媒介，超越你左右两边的人。,如果这种情况是你自身的缺陷造成的，那就远离它吧。,zh,Chinese,2
9970695490,呃，那么晚啦，我们只看了与狼共舞，还看了什么？ 呃，沉默的羔羊。,我看过了“与狼共舞”。,zh,Chinese,0
