id,premise,hypothesis,lang_abv,language,label
a2a8b36437,"Κατά συνέπεια, οι κυβερνητικοί υπεύθυνοι λήψης αποφάσεων και προϊστάμενοι υιοθετούν νέους τρόπους σκέψης, εξετάζοντας διαφορετικούς τρόπους επίτευξης των στόχων και χρησιμοποιώντας νέες πληροφορίες για την καθοδήγηση των αποφάσεων.",Οι κυβερνητικοί εκπρόσωποι αρνούνται να αλλάξουν τον τρόπο ζωής τους.,el,Greek,2
2b2010a718,"Με την πιο εύκολη αφομοίωση με την κοινότητα Anglo, μόνο τα Προτεσταντικά σχολεία αποδέχτηκαν τα παιδιά τους Οι Εβραίοι της Ανατολικής Ευρώπης έχουν αποφοιτήσει από το πλούσιο Westmount ή έχουν μεταναστεύσει ξανά στο Τορόντο.",Οι Εβραίοι ενσωματώθηκαν ευκολότερα στην Αγγλική κοινότητα.,el,Greek,0
e1e92f6499,"Ο Πρόεδρος Κένεντι λέει στους πιλότους: Κύριοι, βγάζετε καλές φωτογραφίες.",Ο Κένεντι δεν τους αναγνώρισε.,el,Greek,2
247c31cc1f,"Ως εκ τούτου, ξέρω ότι πηγαίνετε στα όρια για να είστε συμπονετικοί και να φροντίζετε τους άλλους.",Ξέρω πως απλά δε νοιάζεσαι για τους ανθρώπους καθόλου.,el,Greek,2
2fa7d36591,"Το First Wives Club, μια κωμωδία εκδίκησης με  τρεις εγκαταλελειμμένες συζύγους, κέρδισε τα περισσότερα στο πρώτο της Σαββατοκύριακο από οποιαδήποτε άλλη γυναικεία ταινία στην ιστορία.","Οι ηθοποιοί και η υποκριτική, συνέβαλαν περισσότερο από την πλοκή στο ρεκόρ κινηματογραφικών πωλήσεων του First Wives Club.",el,Greek,1
7df831c8e2,θα κάνουμε τον στόχο.,Θα πέσουμε πολύ κοντά στον στόχο.,el,Greek,2
6595e3320d,"Ενώ οι αριθμοί είναι εντυπωσιακοί, οι υποτροφίες είναι συχνά σημαντικές για την πρόσληψη των κορυφαίων φοιτητών με οικονομικές ανάγκες.",Δεν δίνουμε υποτροφίες ή οικονομική βοήθεια στους σπουδαστές.,el,Greek,2
a9ee3935c9,"Χτισμένο το 688-691 μ.Χ., είναι διακοσμημένο με χιλιάδες εξαίρετα, κυρίως μπλε και κίτρινα, περσικά κεραμικά πλακίδια, με Κορανικές γραφές στα ανώφλια.",Οι τοίχοι έχουν 100000 πλακίδια πάνω τους.,el,Greek,1
fc11d4b8cb,"Ogle, είπε με μια φωνή κρύα και απότομη σαν ατσάλι, ο σταθμός σου βρίσκεται στο κατάστρωμα όπλων.",Ο Ogle είναι πάντα στο σταθμό πυροβόλων όπλων.,el,Greek,1
cfcc3db071,Περιπλανηθείτε στους ορόφους και μιλήστε στους ηθοποιούς που παίζουν τους ρόλους των ναυτικών και των οδοιπόρων.,Οι ηθοποιοί πληρώνονται δέκα δολάρια την ημέρα για να προσποιούνται ότι είναι προσκυνητές.,el,Greek,1
8d360ce050,"Πρόοδος στην Αεροπλοΐα Γίνεται, αλλά Απαιτείται Μακροπρόθεσμη Προσοχή.",Οι προϋπολογισμοί πρέπει να αυξηθούν συνολικά για βέλτιστα αποτελέσματα.,el,Greek,1
12d5e4b5de,Μου είπε τι ακριβώς χρειαζόταν και ότι το χρειαζόταν σήμερα.,Είπε ότι θα μπορούσα να το υποβάλλω οποτεδήποτε.,el,Greek,2
fd8b08abec,"Στις 25 Αυγούστου, μετά την έναρξη της δημοκρατικής συνέλευσης στο Ατλάντικ Σίτυ, ο Ν. Τζόνσον, τότε 56 ετών, απείλησε σε τρεις καταγεγραμμένες συνομιλίες να αποσυρθεί από τον προεδρικό αγώνα.",Ο Johnson αισθάνθηκε έλλειψη υποστήριξης.,el,Greek,1
