id,premise,hypothesis,lang_abv,language,label
82f24422eb,म्जोडी का दावा है कि वह शादी करने के लिए मोरक्को के घर चला गया लेकिन वहाँ एक कार दुर्घटना में घायल होनेके कारण कर नहीं पाया ।,मज़ौदी ने दावा किया कि वह योजना के अनुसार योजना के साथ चला गया।,hi,Hindi,2
126018a551,"उसने आश्चर्य से ऊपर देखा, और फिर उसके साथ सोचने वाली झलक ले कर ठगी करते हुए बैठ गया.",वो उसके उम्मीद से बहादुर थी।,hi,Hindi,1
b02c0e148c,यह संगीत खुदरा विक्रेताओं के लिए कोई रहस्य नहीं है ।,संगीत खुदरा विक्रेता पूरी तरह से इस बारे में अंधेरे में हैं।,hi,Hindi,2
ee546513c1,धिक्कार है! शायद आप अपने आप को समझाएंगे? वोवरस्टोन कहाँ गया है?,मैं चाहता हूं कि आप खुद ही समझाएं! मुझे पता है आप जानते हैं कि वोल्वरस्टोन कहां है।,hi,Hindi,1
6960d6ed8a,"vahee baat New York Times ke lie nahin kaha ja sakata hai. cocaine vivaad par apne sampaadakeey mein, Times ne Bush ko eemaanadaar hone kee salaah dee aur kaha ki desh ko apana upaay karane den.",टाइम्स ने कहा कि बुश को हर किसी से बस  झूठ बोलना चाहिए।,hi,Hindi,2
ec3331392d,जनसंख्या वृद्धि  विपरीत दिशा में  प्रदूषण की तरह है।,जनसंख्या वृद्धि प्रदूषण के उलटी होती है।,hi,Hindi,0
751ad9a0f0,इन समाधानों को उन दोनों तरह के हस्तक्षेपों को संबोधित करने की ज़रूरत होगी जो कि प्रत्येक ईडी और चिकित्सा केंद्र और रोगी की विशिष्ट समस्याओं को ठीक करते हैं।,कई प्रकार के हस्तक्षेप होते हैं जो प्रत्येक ईडी के अनुरूप हो सकते हैं|,hi,Hindi,0
f7e39a37aa,हाँ मैं जाकर देखने का प्रयास करूँगा,मैं जा रहा हूँ कोई रास्ता नहीं है!,hi,Hindi,2
11cc0346f2,"जब अर्बन वियेतनाम गया, हम थोडे ही समय से शादीशुदा थे, जोआन ने कहा।",जब वो वियतनाम के लिया गया तब जोआन और अर्बन एक महीने से शादीशुदा थे।,hi,Hindi,1
df9cca9431,"दो साल की जांच के बावजूद, एफबीआई सहकर्मी को खोजने या उसकी असली पहचान निर्धारित करने में असमर्थ थी।",एफबीआई पता नहीं लगा सकी कि वह व्यक्ति कौन था।,hi,Hindi,0
