id,premise,hypothesis,lang_abv,language,label
ed7d6a1e62,"Bir çiftlikte birisinin, ağıla kapatılmış bu öküzleri kesmeliyiz dediğini duyabilirsiniz bu muhtemelen şu anlama gelir, yüklenecek olanları ayırın.",Çiftlikte insanlar farklı terimler kullanırlar.,tr,Turkish,0
43b978ef75,Diğerleri tüketiciyi yeterince mutlu etmiyor.,Diğerleri yeterlidir.,tr,Turkish,2
68c98548f9,"Dar Chignecto Isthmus ile Nova Scotia'ya bağlı olan New Brunswick, 14.000 Sadık mültecinin talebi üzerine 1784 yılında ayrı bir il olmuştur.",New Brunswick 1784'de bir eyaletti.,tr,Turkish,0
c34e3c518b,"ve şey, sanırım maaş ve uzun vadede itibar konusunda onlarla aynı seviyede olacağız",Nihayetinde biz de benzer maaş seçenekleri sunabilmeliyiiz.,tr,Turkish,0
8232253cb8,"Bu yılın mezun öğlen yemeği AMRA Yıllık Buluşması süresinde Nashville, Tennessee'de 23 Ekim 1991 tarihinde düzenlendi.",AMRA Yıllık Toplantısı her yıl Nashville'de gerçekleşir.,tr,Turkish,1
adc8dcf2e4,Deniz yoluyla her iki adaya da giden yüzlerce günübirlikçi mecbuen tekneye geri dönmeden önce her şeyi yapmaya istekli.,İnsanlar kısa süreliğine adalara gider.,tr,Turkish,0
91793871fc,"Diğer türlüsünü yapmak, GAO çalışanlarına, basına ve halka sorunlu bir mesaj göndermek olur.","Kendin de aynısını yapmıyorsan, işçilere göndermek için kötü bir mesaj.",tr,Turkish,0
f62640f089,Ama seni görmek isteyen Yaşlı Kurt hakkında olacak.,Bugün Old Wolf hakkında seninle görüşmek istiyor.,tr,Turkish,1
85258a4035,İspanyol baskını gecesi Bridgetown'daydı.,İspanya baskınında insanlar öldürüldü.,tr,Turkish,1
fee3189482,"tasarım, seyahatin gerçekleştiği doğrulanmadan önce ödemeye yetki verileceğinden endişeliydik.",Ödemenin bildirimden önce gidebileceğini düşünmüştük.,tr,Turkish,0
04ef0e70f3,"Bay Nields cevap verdi, uzun ifadeler ifadesini kullanmaktan kesinlikle memnunuz.",Bay Nields bunu söylemekten nefret ederdi.,tr,Turkish,2
a7f4859d7b,"Bunun için baktım, Ramona'nın nerede olduğunu öğrendim ve oradan onu aradım.",Ben Ramona'yı önemsemedim.,tr,Turkish,2
8390dc8037,Broadway'de son zamanlarda hiç çoban gördün mü ya da New York Times'da bahsedildiğini?,Broadway hep ustalardan ibaret.,tr,Turkish,2
d942c9f687,"Çeşitli tiyatro konularıyla ilgili kapsamlı bir slayt gösterisi kütüphanesi,",Tiyatro için bir demet slayt gösterisi var.,tr,Turkish,0
93c5af635d,"Yine de, ABD'nin günümüzün son siyah yılları içinde bile, kâğıt, olumsuz medya eleştirmenleri için bir mıknatıs oldu.","USA Today'in karlarına rağmen, gazete hala olumsuz medya kapsamı ile ünlüdür.",tr,Turkish,0
91e49c6161,"Etkinlik denemeleri ilk adımdır, ancak kanıtlanmış alkol taraması ve kısa müdahale sistemlerinin hastane ve toplum bazlı alanlarda uygulanması, bu sürecin en zor kısmı oldu.","İlk olarak, bir müdahalenin faydasını test etmeniz gerekecek.",tr,Turkish,1
9f55f2b70a,"Denize sadece dar şeritlerle ve çiftlik yollarıyla ulaşılır, ancak kalabalıktan uzaklaşmak için bir yürüyüşe değer.",Denizin çok geniş olmayan şeritleri var.,tr,Turkish,0
1ea29928a0,"Dahası, büyüklük dağılımlarını tahmin edebiliriz.",Büyüklük dağılımlarını temsil eden bir görsel grafik kullanılabilir.,tr,Turkish,1
b75e256160,"Kurtarma çalışmaları için, bkz. FDNY raporu, Manning, ed. Bölüm Başkan Yardımcısı Anthony L. Fusco.",Bildirilecek hiçbir kurtarma çabası yoktu.,tr,Turkish,2
6215de1a9e,Açıkça gönüllü cinsel ilişkilerde istismar sorunu uzun zamandır bizimledir.,Görünüşte gönüllü olan cinsel ilişkilerde sömürü olabilir.,tr,Turkish,0
6736edc4f9,Diğer danışmanlar bu endişeyi dile getirdi.,Sadece bir danışman bu planla ilgili endişelerini dile getirmedi.,tr,Turkish,1
0edbd5ffcf,Yollar keskin virajların etrafında dönüyor ve dalgalanmaların üzerinden yuvarlanıyor.,Yol eğimliydi,tr,Turkish,0
73bf894af9,Televizyon'da bir şeyler izliyoruz.,Televizyondaki haberleri izliyorduk.,tr,Turkish,1
4b0a331b72,"Asıl önemli olan, aslında, dünyadaki pek çok Miloseviğin olmadığıdır.",Dünyada bir sürü Milosevic var.,tr,Turkish,2
a8484da87f,Ogle yemin ederek özgür bıraktı.,Ogle hareket etmeden sadece ona bakmaya devam etti.,tr,Turkish,2
f112f9ca55,"İki şirket ve eylemleri için bkz. FDNY görüşmesi 22, Tabur 28 (Ocak",İtfaiye teşkilatının fiillerine ilişkin hiçbir röportaj yapılmadı.,tr,Turkish,2
a93da21777,"Ve o zaman annesine söyledi, annesi öne doğru eğildi ve baktı ve dedi ki, Onun gibi yürüyor.",Annesinin felçli olduğunu ve yürüyemediğini söyledi.,tr,Turkish,2
127f14dc3c,"Paltomu yeni göster, canım, dik!","Ceketim mükemmel durumda, ona dokunmana ihtiyacım yok.",tr,Turkish,2
ec7e22c446,Sadece iki tahta kalasın elle kaldırılmasıyla çalışır.,10 ahşap kalas listeliyor.,tr,Turkish,2
abd46210b9,"Pedro tahtını aldı, ancak silahlı mücadele aylarca devam etti ve ondan sonra da uzun süre devam eden acı.",Savaş aylar sürdü.,tr,Turkish,0
14dfbd4730,cinsel ya da boşaltım faaliyetleri ya da organları.,Hiçbir aktivite sıvı aktarmaz.,tr,Turkish,2
8de78513ab,Prototip Mühendislik prototipleri (sanal veya Üretim temsilcisi prototipleri Başlangıçtaki ürünler fiziksel),Prototip diye bir şey yoktur.,tr,Turkish,2
a81fdc1553,"1972'de Phillip Morris, Inc.'in Miller Brewing Co. şirketi, Meister Brau Inc. şirketinin satınalmasında Lite bira etiketini satın aldı.","Lite bira etiketinin sahiplenilmesi, Phillip Morris, Inc.'in Miller Brewing Co.'nun Meister Brau Inc'i satın almasının temel sebebiydi.",tr,Turkish,1
05bc650f38,"Koloktroni  Meydanı'ndaki  Syntagma'ya yakın olan, Post-Klasik zamanlardan kalma eserler koleksiyonuna sahip Ulusal Tarih Müzesidir .","Ulusal Tarih Müzesi, Post-Klasik zamanlardan pek çok esere sahiptir.",tr,Turkish,0
d0c15105ba,"Sonra onu alıyorum ve bir harika oluyorum, onunla ne yapacağım?",Bu aleti nasıl kullanacağımı bilmiyorum.,tr,Turkish,1
252612852b,"Evet, bir Cocker Spaniel vardı, o bir açık hava köpeği ve uh ben daha iyi uh-huh sevdiğimi düşünüyorum",Ben gün boyu dışarıda olmak isteyen aktif bir köpektense daha çok tembel bir ev köpeğiyim.,tr,Turkish,2
c4c71b9f9b,"Sonuç olarak CEO, CIO'ya, CIO kurumuna ve diğer kurumsal birimlere yapılan bilgi teknolojisinin ve yönetim işlevselliklerinin taksimini kontrol etmektedir.",CEO insanlara kimin hangi bilgiyi alacağını söyler ancak bazen hata yaparlar.,tr,Turkish,1
87c90a6e7d,"Dilbilgisi ve cazibe, tarihsel olarak aynı sözcüktür.",Kaiser L'nin herşeyini çaldığında 1910'larda kelimeler ayrıldı.,tr,Turkish,1
1e79650c9c,"Gözaltındayken KSM, El Kaide'nin Güney Kaliforniya'da herhangi bir ajanı olduğunu reddetti.",El Kaide'nin Kaliforniya'da ajanı olmayabilir.,tr,Turkish,0
de2e384ced,ve bu bilgi ve onunla birlikte verilir ve o eğlenmiş gibi görünüyor,"Herkesin söylediğine göre, o ondan nefret ediyor.",tr,Turkish,2
ab17eb910d,"Basit bir örnek olarak, çalışma maliyetinin 10a olduğunu ve temel postanın maliyetinin 16a olduğunu varsayın.",İş bölümü giderlerinin temel postadan daha az olduğunu tahmin edebilirsiniz.,tr,Turkish,0
eff64d375d,"Anthony John Campos'un küçük insanlar olarak nitelendirdiği Elves ya da leprechauns, pichilingis haylazca muziplikler yapan cüce cinlerdir.","Anthony John Campos, ineklerin leprekonlar ve elfler üzerinde şakalar yaptığını belirtti.",tr,Turkish,2
1246be9508,"Del Rio, Texas'a gitme emri aldım, haliyle, oraya vardığımda Laughlin Hava Kuvvetleri Üssü'ne gitmek zorunda olduğumu anladım.",Hiç texas'ta bulunmadım.,tr,Turkish,2
a80324fe29,"yardım toplama, katılımcıların çok iyi giyimli olduğu bir dilenme şeklidir.",İyi giyimli dilencilere bazen bağışçı denir.,tr,Turkish,0
19ed6f44cc,Gallic subjektifinin anlaşılmazlıkları onu hiç endişelendirmez ve en iyi sebepten denemek zahmetine bile girmez.,Endişe duymuyor çünkü denemiyor.,tr,Turkish,0
982b208e2f,"Darbenin etkisiyle birçoğu öldü ya da ciddi şekilde yaralandı, diğerleri nispeten zarar görmemişti.",Darbede herkes bir uzvunu kaybetti.,tr,Turkish,2
c2a60d2b0f,"Yine de, Bal'ın uygulaması neredeyse aşikardır ve Amerikan aksanları üzerine bir çalışma yapmayı tasarlayan herkes, onun saptadığı ilkeleri rehber edinmekle iyi yapar.",Honey birkaç aksanla konuşabiliyor.,tr,Turkish,1
5c9bb4dc2c,RPH kitabının yayınlanması ile ilgili bir sonraki gerçeğe yol açan kitap turu izler.,Onun için ayırtılabilecek bir tur yoktu.,tr,Turkish,2
5f594b2d95,Quad olarak bilinen öğrenci yurdunun yanında bir dizi avlunun etrafında planlanan pitoresk Jakoben Canlanma kompleksi bulunur.,Quad bir öğrenci yurdudur.,tr,Turkish,0
96561b19f0,Atta veya Shehhi'nin Haziran ayında herhangi bir ek uçuş eğitimi aldığına dair bir işaret yoktur.,Atta ve Shehhi'nin Hazira ayında daha iyi pilot olmak için çok çalıştığına dair kanıt var.,tr,Turkish,2
3915e4f2a9,"Eğer bu kitabı yeteri kadar kişi satın alırsa yakında ikinci baskısını yapacak, bunda da yukarıdaki (bunlar değil) tavsiyelerden birkaçını içermesi bekleniyor.",Kitap kurgusal olmayan bir kitaptır.,tr,Turkish,1
169008d42b,"Tabii ki, bu içerik ayrımı, Slate gibi dergiler için yıkıcı olabilir.",İçeriğin dağılması Slate gibi gazeteler için bir okuyucu mıknatısı gibidir.,tr,Turkish,2
0262971b15,FBI araştırmacıları El Kaide'nin Phoenix bölgesindeki diğer radikal müslümanları havacılık eğitimine kaydolmaya yönlendirmiş olabileceği yönünde yorumda bulundu.,Phoenix'deki terörizmde başkalarının da içinde olduğunu gösteren bir kanıt yoktu.,tr,Turkish,2
64fdc25be0,"NCTC'nin başkanı, bir ulusal istihbarat direktörü, örneğin, II. Seviye II'nin rütbesine sahip olmalıdır, ancak farklı bir unvana sahip olmalıdır.",NCTC başkanı milli istihbarat yönetici yardımcısının altında bir rütbede olmalıdır.,tr,Turkish,2
286fafd943,Elçilik bombalamaları trajedisi Bin Ladin'in dayattığı ulusal güvenlik tehdidinin hükümet genelinde tam olarak incelenmesi için bir fırsat sağlamıştı.,Bin Ladin'in hükümete bir tehdit teşkil ettiğine dair hiçbir gösterge yoktu.,tr,Turkish,2
c214395068,"Yanında, Barok tarzında bir ön cephe ve verandayla kısmen tadil edilmiş olan Normandiya Gotik La Martorana Kilisesi, dört kat boyunca uzanan narin bölümlü pencereleri olan bir çan kulesine sahiptir.",Kilise Barok tarzı gibi görünüyor.,tr,Turkish,0
8368b31d96,"Bu şekilde, bir sözcüğün yazımı çoğu kez aynı paradigmaya veya kendi tarihine ait başka kelimelerle ilgilidir.",Bir kelimenin yazılışı onun tarihine bağlıdır.,tr,Turkish,0
66e191f450,"Eğime karşı  Tartışmanın çoğu, hangi konuların kürtajla ilişkili olduğu üzerinde dönüyor.",Bu tartışmanın kürtajla alakası yok.,tr,Turkish,2
d9e1f2816a,"Şövalye, atına, Latin caballus atıyla bağlıdır.","Şövalyenin adı, atıyla olan bağına işaret ediyor.",tr,Turkish,0
701a4aa787,"Öyle duydum, diye kabullendi kısık bir sesle.",Bir şey duymuştu.,tr,Turkish,0
8227fced76,Devam ettiğini görmek isterim.,Tam şu anda bitseydi harika olurdu.,tr,Turkish,2
8c72f0e3a0,Sebepsiz bir şekilde Yidiş olduğu varsayılıyor...,Yidiş hakkında birçok farklı varsayım var.,tr,Turkish,1
4ec8fbe1dd,Sonrakine ihanet etmekten korkarak mülteciyi öncekine aldı.,Nereye saklandığı umurunda değildi.,tr,Turkish,2
37bdb80e92,"Hayır, o 1900 yılında doğdu çünkü 16 yaşındaydı ve bunun 1926 civarı olması gerek, 19, yani, önce 1930'dan önce.",1943'e kadar doğmadı.,tr,Turkish,2
13a3c49e2b,"Lider örgütler, bir kaynak stratejisinin bir parçası olarak, kurum içi personel ve harici sağlayıcılarla belirli bir bilgi teknolojisi ve yönetim hizmetleri sunmaya karar verir.",Kuruluşlar her zaman işleri dışarıya yaptırır.,tr,Turkish,2
6321437c0b,"Omnia vincit amor (Haftalık Standart için çalışmadığınız sürece): Brit Hume (Fox News Sunday), Lewinsky'nin neden hala başkan üzerinde umutsuz bir şekilde ezilmeye başlayacağını tahmin ediyor.","Brit Hume, CNN için çalışıyor.",tr,Turkish,2
0a2f5d968d,"Yine de, Bay Levitt'in kızı, bunun bir şeyleri bağlamak için kullanılan, bumbasında mayistra yelkenindeki bir paraşüt olarak, bagaf rafına hafif eşyalar, vs .esnek bir kravat olarak bulunduğunu belirtti.--Editör.",Bay Levitt'in kızı 17 yaşındaydı.,tr,Turkish,1
63f3ed3b75,Verinin güvenilirliğinin belirsiz olarak değerlendirilmesinde neyi baz aldığınızı belirtin.,Veri dosyaları toplamda birkaç yüz megabaytlıktı.,tr,Turkish,1
9826db630d,"İş Sonuçlarında Değer Yaratan, Müşteri Odaklı Bir Ortak Olmak İçin",Başarılı olmak için ortaklar müşterilere odaklanmalılar.,tr,Turkish,1
d00583367a,"Bu spekülasyon, en azından kısmen, Thumairy'nin camide aşırılık yanlısı bir hizip liderlik raporuna dayanmaktadır.",Bu bölümler bir cami ahalisinin yarısını oluşturuyordu.,tr,Turkish,1
d255c8fc0c,O yüzden yepyeni bir alana giriyoruz.,Yeni bir şey yapıyoruz.,tr,Turkish,0
0bb1b010a9,"İhtiyaç bilincine ihtiyaç duyulandan paylaşıma geçme gerekliliği için, bkz. James Steinberg ifadesi, 14 Ekim 2003.","James Steinberg, veri paylaşımının ne pahasına olursa olsun önlenmesi konusunda kararlıydı.",tr,Turkish,2
