id,premise,hypothesis,lang_abv,language,label
8c10229663,"Через каждые сто градусов пятна краски меняют свой цвет, она может быть красной и изменить цвет на синий.",Краска изменяется в соответствии с цветом.,ru,Russian,0
1ec4761d9d,"Уверяю вас, сэр, что я был полностью осведомлен обо всем.",От меня скрыли множество деталей.,ru,Russian,2
12127455a8,"И насколько лучше эти?-- Ты боишься неуклюжей барбадосской сеялки? Что тебя мучает, Питер? Я никогда раньше не видел тебя испуганным. За их спинами раздался выстрел.","Никогда не видел, чтобы Питер чего-то боялся.",ru,Russian,0
8a4a9c16be,"В 2003 г. эти коды были отменены; сейчас все вопросы, относящиеся к международному терроризму, получают один код -- 315.","Все вопросы, относящиеся к терроризму, получают высший приоритет.",ru,Russian,1
c776773683,"Мы настолько привыкли слышать, как американские компании жалуются на иностранную конкуренцию, что обвинения, которые выдвигает Kodak после своего поражения, воспринимаются как очередной скулеж.",Американские компании отвечают на зарубежную конкуренцию.,ru,Russian,0
bf6fb470ee,"Лингвисты, которые пишут книги, по-видимому, всегда навязывают свою точку зрения, порой, мягко говоря, маловразумительную.",Большинство лингвистов пишут книги для продвижения мнений других.,ru,Russian,2
9deab91b98,Задержанный датирует встречу со Слахи октябрем 1999 года.,Собрание состоялось в декабре 1998 году.,ru,Russian,2
a967464d31,"Кроме того, сотрудники программы проводят различные семинары и готовят образовательные материалы для новых поставщиков.",Сотрудники программы сократили все семинары в прошлом году.,ru,Russian,2
987ba0115c,"Нет, это было только однажды утром, она сказала, что она собирается вернуться в офис.","Она не сказала, планирует ли возвращаться.",ru,Russian,2
7b06be6421,Ни в одной другой профессии нет такой богатой традиции самоуничижения.,Представители многих других профессий высокого мнения о себе.,ru,Russian,1
fad6fcea39,"Одно агенство намерено осуществить  процедуру подачи сотрудниками заявлений на поездку, которая позволяла бы пассажирам, за некоторыми исключениями, просто предоставлять общую сумму всех расходов,  индивидуально не превышающих $75.",Эта идея не была хорошо воспринята t = другими агентствами.,ru,Russian,1
e79ed0740a,"Компаньон Хазми помнит, что примерно в то время Хазми отправился в незапланированную поездку в аэропорт Сан-Диего.",Сосед по дому Хазми начал что-то подозревать.,ru,Russian,1
03a9f64dbb,"Я не первый человек, кто полагает, что основной тенденцией в мировой истории является борьба за независимость.",Другие люди заметили это поступление после меня.,ru,Russian,1
3304c7bd9b,"В истории, которую я расскажу сегодня, говорится о моем отце и о культурных различиях, которые он ощущал, приехав в Америку.",Я не хочу говорить о своих родителях.,ru,Russian,2
3e858fc5aa,Даже расположение здания - это технологическое чудо.,Здание очень старое и невысокое.,ru,Russian,2
afbc6c87be,"Да, он предложил купить, ну, это... швабру, такую, как у тебя.",Он предложил найти швабру.,ru,Russian,0
7512090e5c,"много подобных примеров, что  Texas Instruments производит вещи так, что работники чаще всего не знают, что они производят",Texas Instruments имеет множество секретных проектов.,ru,Russian,0
805ec16cca,"И также бесспорно, что эконосфера стала более сложной за несколько последних миллионов лет эволюции гоминидов.",Эконосфера современных людей намного проще чем была у древних людей.,ru,Russian,2
fa2aec9d26,и ем поэтому мне оно очень понравилось,Мне это действительно понравилось.,ru,Russian,0
60860583c6,"Ну, этим утром иду я туда и, э-э-э, не помню как, наверное, или я задал вопрос и он вошел, или, ну, в общем, ладно.",Я сегодня не ходил и следовательно не видел его.,ru,Russian,2
9b411d61c9,"И вот, для грабителя наилучшим сдерживающим фактором является шумный сосед. Даже если сосед не шумит сам, но у него есть часто и громко лающая собака, то это уже является сдерживающим фактором, так как грабитель знает, что эта собака обязательно залает.",Грабители не любят собак,ru,Russian,0
e4bbe7bb97,"Она даже не понимала церемонию бракосочетания, вообще не осознавала, что она действительно вышла замуж--","Она знала, на что она шла.",ru,Russian,2
c46fdf467a,"Доход граждан происходит из аншлагов, семинаров и программ обучения, доходов от аренды, организаций, корпоративных спонсоров  и индивидуальных вкладов от таких сторонников, как вы.","Люди дают нам деньги, чтобы наша организация продолжала работу.",ru,Russian,0
43f619ed0a,"Публикации ранних Американских путешественников к юго-западу и Мексике описывают Испанских мексиканцев не только в нелицеприятных терминах, но и с экстремальной страстью.",Первые американцы недолюбливали мексиканцев испанского происхождения.,ru,Russian,1
9deda6a457,Твое место - на батарейной палубе.,Ты не назначен на батарейную палубу.,ru,Russian,2
8810c9e37c,Я уверен абсолютно в обратном.,"Я считаю, что ты ошибаешся, и ответ не нет, а да",ru,Russian,1
65ca021e9a,"За отелем, за 1898 года статуей Самуэля де Шамплена, основатель города, из Dufferin Terrace открывается великолепный вид на Сен-Лоуренс и вниз по течению до Иль-Орлеан",Статуя основателя города была построена в 1898 году.,ru,Russian,0
0c5fb8b0d5,"На Рождество дети ходили по домам, стучали в двери, просили и получали сладости или небольшие игрушки.",Дети не сидели дома в Рождество.,ru,Russian,0
b496488003,Чтобы время от времени заниматься благотворительностью. — И он мягко рассмеялся.,"А вы можете быть щедрым, —  сказал он, смеясь.",ru,Russian,0
ac54e3b779,Пей-тауэр извилистая тропа ведёт наверх к Гонконг-парку.,Эта дорога — 5 миль до Гонконгского парка.,ru,Russian,1
8c25bc0d9b,"Однако, как указала дочь г-на Левитта, обычно это определяется, как резинка, которую используют для связывания вещей, как рифлёный грот на выстреле, легкие предметы на сетке для багажа, и так далее. Редактор.",У мистера Левитта не было детей.,ru,Russian,2
9de918843c,"В центре площади расположен гранитный Weltkugelbrunnen (Фонтан мира) Йоахима Шметтау, который местные весело окрестили водным пельменем.",Weltkugelbrunnen сделан из алюминия.,ru,Russian,2
c5ec759f79,"Массачусетский технологический институт (МТИ), основанный в 1861 году, является ведущим научно-техническим учреждением Америки, которое разработало множество современных технологий – от стробоскопической фотографии до процессов консервирования продуктов питания.",MIT была основана в 1861 году.,ru,Russian,0
02f31f12e9,"Напротив, воздействие количества выше в США, чем во Франции, потому что почтовая плотность в США ниже, а различия в количестве больше.","Воздействие во Франции больше, чем в Соединенных Штатах.",ru,Russian,2
0af2a6289e,"Дарвин начинает с того, что жизнь уже существует.",Дарвин начал с изучения рыб.,ru,Russian,1
eb3bc899d5,Не было намеков на внутреннюю угрозу.,"Это предполагало угрозу в Ирландии, но не в США.",ru,Russian,1
2213e6f1ce,"Однажды дома, я узнал что США сокращают поставки двумя способами",Меня интересует политика.,ru,Russian,1
7b615a3020,"В благодарность за Ваш вклад в размере 100$ или более в кампанию, Вы с гостем приглашены посетить специальный прием во вторник, 23 марта 2000 года с 5:30 до 8:00 вечера в Херрон Холле.","Вы должны пожертвовать как минимум 10,000 долларов для получения приглашения на прием.",ru,Russian,2
bd3b779dfc,"Там было 158 деталей, и все их надо было разобрать, затем собрать обратно, затем снова разобрать, и ни разу не ошибиться.",Нам нужно разобрать это и собрать заново.,ru,Russian,0
6952c9d312,"М-м-м, ну, информатика и когнитивистика, в общем...",Также наука об окружающей среде.,ru,Russian,1
cdd34e817a,"Публикации ранних Американских путешественников к юго-западу и Мексике описывают Испанских мексиканцев не только в нелицеприятных терминах, но и с экстремальной страстью.",Первые переселенцы на территории Америки негативно отзывались об испаноговорящих жителях Мексики.,ru,Russian,0
bfe61e0cea,"Зачем  же вы  тогда  гнались?, - холодно спросила  она, стоя перед ним прямо, бледная и очень целомудренная в своей необычной позе.","Ее самообладание выглядело неестественным, так как у нее болела спина",ru,Russian,1
86cd3730e4,"Действительно, это распространение  является первым шагом на пути распространения фиолетовой лавины урона.",Это первая часть ущерба.,ru,Russian,0
